CollectorV(1),Ic01 (Ib = 1 uA),Ic02 (Ib = 2 uA),Ic03 (Ib = 3 uA),Ic04 (Ib = 4 uA),Ic05 (Ib = 5 uA),Ic06 (Ib = 6 uA),Ic07 (Ib = 7 uA),Ic08 (Ib = 8 uA),Ic09 (Ib = 9 uA),Ic10 (Ib = 10 uA),,,,,,,,,,,,,,,,,,,,
1.3500E+0,100.8895E-6,210.3499E-6,321.9319E-6,434.2661E-6,546.8616E-6,659.5418E-6,772.0197E-6,884.4016E-6,996.0693E-6,1.1075E-3,,,,,,,,,,,,,,,,,,,,
1.4000E+0,100.9613E-6,210.5099E-6,322.1511E-6,434.5662E-6,547.2235E-6,659.9932E-6,772.5456E-6,885.1017E-6,996.8048E-6,1.1083E-3,,,,,,,,,,,,,,,,,,,,
1.4500E+0,101.0350E-6,210.6478E-6,322.3618E-6,434.8379E-6,547.6056E-6,660.4742E-6,773.1140E-6,885.7231E-6,997.5604E-6,1.1090E-3,,,,,,,,,,,,,,,,,,,,
1.5000E+0,101.1040E-6,210.7730E-6,322.5940E-6,435.1458E-6,548.0095E-6,660.9078E-6,773.6238E-6,886.3046E-6,998.2064E-6,1.1098E-3,,,,,,,,,,,,,,,,,,,,
1.5500E+0,101.1721E-6,210.9293E-6,322.8052E-6,435.4398E-6,548.3264E-6,661.3742E-6,774.1382E-6,886.8639E-6,998.9156E-6,1.1106E-3,,,,,,,,,,,,,,,,,,,,
1.6000E+0,101.2285E-6,211.0813E-6,323.0060E-6,435.7248E-6,548.7030E-6,661.7886E-6,774.6430E-6,887.5025E-6,999.6127E-6,1.1113E-3,,,,,,,,,,,,,,,,,,,,
1.6500E+0,101.2894E-6,211.2365E-6,323.2071E-6,436.0146E-6,549.0528E-6,662.2635E-6,775.1412E-6,888.1031E-6,1.0003E-3,1.1121E-3,,,,,,,,,,,,,,,,,,,,
1.7000E+0,101.3593E-6,211.3610E-6,323.4000E-6,436.2704E-6,549.4021E-6,662.7057E-6,775.6535E-6,888.6695E-6,1.0009E-3,1.1128E-3,,,,,,,,,,,,,,,,,,,,
1.7500E+0,101.4280E-6,211.5019E-6,323.6244E-6,436.5806E-6,549.7636E-6,663.1151E-6,776.1437E-6,889.2797E-6,1.0015E-3,1.1135E-3,,,,,,,,,,,,,,,,,,,,
1.8000E+0,101.4890E-6,211.6290E-6,323.8198E-6,436.8593E-6,550.1068E-6,663.5346E-6,776.6282E-6,889.8102E-6,1.0022E-3,1.1142E-3,,,,,,,,,,,,,,,,,,,,
