#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2018-11-14 19:45:11.803
#Sample rate: 1.5873e+06Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1 V Hyst.: Auto HoldOff: 0 s
#Math 1: Function: C1 X C2

Time (s),Math 1 (V)
-0.00257992875,-0.17854686498203104
-0.0025792987500000003,0.376325904497052
-0.0025786687500000001,-0.34067483766232992
-0.00257803875,0.086061387034194886
-0.0025774087500000003,0.22026940279972551
-0.0025767787500000001,-0.39157587803196892
-0.0025761487500000004,0.3145543383394549
-0.0025755187500000002,-0.038999129752125591
-0.00257488875,-0.26432169078387413
-0.0025742587500000003,0.39863462347372258
-0.0025736287500000002,-0.28506170557226618
-0.00257299875,-0.013257599866481515
-0.0025723687500000003,0.29944409111561848
-0.0025717387500000001,-0.40291768407138689
-0.0025711087499999999,0.24765026657089892
-0.0025704787500000002,0.061149103444904408
-0.00256984875,-0.33658127266980054
-0.0025692187500000003,0.39596337024690464
-0.0025685887500000002,-0.20936482909694404
-0.00256795875,-0.11483153350654966
-0.0025673287500000003,0.36331848316419868
-0.0025666987500000001,-0.38774134597502752
-0.0025660687499999999,0.16255229374588992
-0.0025654387500000002,0.16115342745106248
-0.0025648087500000001,-0.38961637360903784
-0.0025641787500000003,0.3679119299372397
-0.0025635487500000002,-0.11762101152619286
-0.00256291875,-0.21227822918013603
-0.0025622887500000003,0.40452692829481618
-0.0025616587500000001,-0.34625073448403398
-0.00256102875,0.065580541315157045
-0.0025603987500000002,0.2549946831994358
-0.0025597687500000001,-0.41912753654481449
-0.0025591387500000003,0.31565899700413036
-0.0025585087500000002,-0.015189155094889772
-0.00255787875,-0.3003051743786469
-0.0025572487500000003,0.42206845348426264
-0.0025566187500000001,-0.28300014418819808
-0.00255598875,-0.040455398336274345
-0.0025553587500000002,0.33467339150200731
-0.0025547287500000001,-0.42416900455618556
-0.0025540987500000003,0.23965591495093086
-0.0025534687500000002,0.092064294120824966
-0.00255283875,-0.3713298720795018
-0.0025522087500000003,0.41306763901943522
-0.0025515787500000001,-0.19845777468010359
-0.00255094875,-0.14711343185034673
-0.0025503187500000002,0.39636554933519891
-0.0025496887500000001,-0.40124043254621578
-0.0025490587500000004,0.14679642533646087
-0.0025484287500000002,0.19650706413749702
-0.00254779875,-0.42074961446282277
-0.0025471687500000003,0.37613075255424155
-0.0025465387500000001,-0.098151373620165086
-0.00254590875,-0.24855937299438666
-0.0025452787500000002,0.43412456320640874
-0.0025446487500000001,-0.35144595307565574
-0.0025440187500000004,0.041320473328993745
-0.0025433887500000002,0.29105633081386478
-0.00254275875,-0.44549200377882292
-0.0025421287500000003,0.31344318283814976
-0.0025414987500000001,0.011292037908032487
-0.00254086875,-0.33569393217743809
-0.0025402387500000003,0.44459186106432841
-0.0025396087500000001,-0.2773641923672418
-0.0025389787500000004,-0.071027629206680681
-0.0025383487500000002,0.37188330600086134
-0.00253771875,-0.44174456720305572
-0.0025370887500000003,0.23057548892433483
-0.0025364587500000002,0.12445421057923793
-0.00253582875,-0.40565456720416176
-0.0025351987500000003,0.42792279217863516
-0.0025345687500000001,-0.1833357786199408
-0.0025339387499999999,-0.18242182235933149
-0.0025333087500000002,0.4283635443017268
-0.0025326787500000001,-0.41101179800511412
-0.0025320487500000003,0.12831843355497352
-0.0025314187500000002,0.23286087723965335
-0.00253078875,-0.45172348811440605
-0.0025301587500000003,0.38225715215089717
-0.0025295287500000001,-0.074545369694371547
-0.0025288987499999999,-0.28587987288611971
-0.0025282687500000002,0.4617760956228491
-0.0025276387500000001,-0.3510154492836684
-0.0025270087500000003,0.013894047548500266
-0.0025263787500000002,0.32806684454236174
-0.00252574875,-0.47080627476930059
-0.0025251187500000003,0.31003997344609135
-0.0025244887500000001,0.041830233798345294
-0.00252385875,-0.37378792586199638
-0.0025232287500000002,0.46479771561383021
-0.0025225987500000001,-0.26847532173571459
-0.0025219687500000003,-0.10361665176337428
-0.0025213387500000002,0.40677873917949436
-0.00252070875,-0.45950428795590009
-0.0025200787500000003,0.21593756970060693
-0.0025194487500000001,0.1594660172522486
-0.00251881875,-0.4409686243137616
-0.0025181887500000002,0.43904711304892308
-0.0025175587500000001,-0.16531099134373434
-0.0025169287500000003,-0.21940309825481785
-0.0025162987500000002,0.46199342468330057
-0.00251566875,-0.4182324458005533
-0.0025150387500000003,0.10523198667996803
-0.0025144087500000001,0.27006682570164237
-0.00251377875,-0.48192658165599744
-0.0025131487500000002,0.38324376844287422
-0.0025125187500000001,-0.049325442407578489
-0.0025118887500000004,-0.32439598279167936
-0.0025112587500000002,0.48746539519847287
-0.00251062875,-0.34970878840453973
-0.0025099987500000003,-0.016603609387340679
-0.0025093687500000001,0.36772672111432819
-0.00250873875,-0.49262056856033248
-0.0025081087500000003,0.30215710838816767
-0.0025074787500000001,0.07472911950134313
-0.0025068487500000004,-0.41073893469673312
-0.0025062187500000002,0.48316512223028646
-0.00250558875,-0.25634840316971241
-0.0025049587500000003,-0.13981549325848763
-0.0025043287500000001,0.44425439841203862
-0.00250369875,-0.47236527335002548
-0.0025030687500000003,0.19838056319231429
-0.0025024387500000001,0.19676979740722109
-0.0025018087499999999,-0.47521791749936582
-0.0025011787500000002,0.44828357598555091
-0.00250054875,-0.14321678149838868
-0.0024999187500000003,-0.25782079361609866
-0.0024992887500000002,0.49406113455213585
-0.00249865875,-0.42120809465218195
-0.0024980287500000003,0.079292829894447414
-0.0024973987500000001,0.30962956132387703
