
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
1.2022644346174143E+002, 1.2022644346174143E+002, 0.0000000000000000E+000,-7.7405732443475239E+000, 0.0000000000000000E+000
1.2161860006463695E+002, 1.2161860006463695E+002, 0.0000000000000000E+000,-7.6270148852563757E+000, 0.0000000000000000E+000
1.2302687708123831E+002, 1.2302687708123831E+002, 0.0000000000000000E+000,-7.5137490640800877E+000, 0.0000000000000000E+000
1.2445146117713868E+002, 1.2445146117713868E+002, 0.0000000000000000E+000,-7.4007715325967620E+000, 0.0000000000000000E+000
1.2589254117941691E+002, 1.2589254117941691E+002, 0.0000000000000000E+000,-7.2880780918064989E+000, 0.0000000000000000E+000
1.2735030810166637E+002, 1.2735030810166637E+002, 0.0000000000000000E+000,-7.1756645930995111E+000, 0.0000000000000000E+000
1.2882495516931360E+002, 1.2882495516931360E+002, 0.0000000000000000E+000,-7.0635269394379963E+000, 0.0000000000000000E+000
1.3031667784523015E+002, 1.3031667784523015E+002, 0.0000000000000000E+000,-6.9516610862369754E+000, 0.0000000000000000E+000
1.3182567385564093E+002, 1.3182567385564093E+002, 0.0000000000000000E+000,-6.8400630425417051E+000, 0.0000000000000000E+000
1.3335214321633262E+002, 1.3335214321633262E+002, 0.0000000000000000E+000,-6.7287288717687064E+000, 0.0000000000000000E+000
1.3489628825916560E+002, 1.3489628825916560E+002, 0.0000000000000000E+000,-6.6176546926861954E+000, 0.0000000000000000E+000
1.3645831365889271E+002, 1.3645831365889271E+002, 0.0000000000000000E+000,-6.5068366801926834E+000, 0.0000000000000000E+000
1.3803842646028875E+002, 1.3803842646028875E+002, 0.0000000000000000E+000,-6.3962710660848661E+000, 0.0000000000000000E+000
1.3963683610559403E+002, 1.3963683610559403E+002, 0.0000000000000000E+000,-6.2859541397175835E+000, 0.0000000000000000E+000
1.4125375446227571E+002, 1.4125375446227571E+002, 0.0000000000000000E+000,-6.1758822487519751E+000, 0.0000000000000000E+000
1.4288939585111058E+002, 1.4288939585111058E+002, 0.0000000000000000E+000,-6.0660517996780374E+000, 0.0000000000000000E+000
1.4454397707459304E+002, 1.4454397707459304E+002, 0.0000000000000000E+000,-5.9564592584555207E+000, 0.0000000000000000E+000
1.4621771744567212E+002, 1.4621771744567212E+002, 0.0000000000000000E+000,-5.8471011509639235E+000, 0.0000000000000000E+000
1.4791083881682107E+002, 1.4791083881682107E+002, 0.0000000000000000E+000,-5.7379740635394585E+000, 0.0000000000000000E+000
1.4962356560944369E+002, 1.4962356560944369E+002, 0.0000000000000000E+000,-5.6290746433866872E+000, 0.0000000000000000E+000
1.5135612484362119E+002, 1.5135612484362119E+002, 0.0000000000000000E+000,-5.5203995989712240E+000, 0.0000000000000000E+000
1.5310874616820340E+002, 1.5310874616820340E+002, 0.0000000000000000E+000,-5.4119457004057079E+000, 0.0000000000000000E+000
1.5488166189124854E+002, 1.5488166189124854E+002, 0.0000000000000000E+000,-5.3037097797399628E+000, 0.0000000000000000E+000
1.5667510701081534E+002, 1.5667510701081534E+002, 0.0000000000000000E+000,-5.1956887312838553E+000, 0.0000000000000000E+000
1.5848931924611179E+002, 1.5848931924611179E+002, 0.0000000000000000E+000,-5.0878795118375999E+000, 0.0000000000000000E+000
1.6032453906900460E+002, 1.6032453906900460E+002, 0.0000000000000000E+000,-4.9802791409405698E+000, 0.0000000000000000E+000
1.6218100973589347E+002, 1.6218100973589347E+002, 0.0000000000000000E+000,-4.8728847010549483E+000, 0.0000000000000000E+000
1.6405897731995441E+002, 1.6405897731995441E+002, 0.0000000000000000E+000,-4.7656933377555797E+000, 0.0000000000000000E+000
