
Label=dB(v(Vout)) vs F
LabelX=F
LabelY=dB(v(Vout))
Data Point Count=1001
F,F,F,dB(v(Vout)),dB(v(Vout))
1.1803206356517313E+002, 1.1803206356517313E+002, 0.0000000000000000E+000,-6.0745785245978752E+000, 0.0000000000000000E+000
1.1912420080273766E+002, 1.1912420080273766E+002, 0.0000000000000000E+000,-6.0174416701475488E+000, 0.0000000000000000E+000
1.2022644346174148E+002, 1.2022644346174148E+002, 0.0000000000000000E+000,-5.9606068071087828E+000, 0.0000000000000000E+000
1.2133888504649792E+002, 1.2133888504649792E+002, 0.0000000000000000E+000,-5.9040762853626658E+000, 0.0000000000000000E+000
1.2246161992650508E+002, 1.2246161992650508E+002, 0.0000000000000000E+000,-5.8478524301042691E+000, 0.0000000000000000E+000
1.2359474334445127E+002, 1.2359474334445127E+002, 0.0000000000000000E+000,-5.7919375406689610E+000, 0.0000000000000000E+000
1.2473835142429455E+002, 1.2473835142429455E+002, 0.0000000000000000E+000,-5.7363338893550981E+000, 0.0000000000000000E+000
1.2589254117941698E+002, 1.2589254117941698E+002, 0.0000000000000000E+000,-5.6810437202510444E+000, 0.0000000000000000E+000
1.2705741052085443E+002, 1.2705741052085443E+002, 0.0000000000000000E+000,-5.6260692480568766E+000, 0.0000000000000000E+000
1.2823305826560244E+002, 1.2823305826560244E+002, 0.0000000000000000E+000,-5.5714126569134503E+000, 0.0000000000000000E+000
1.2941958414499891E+002, 1.2941958414499891E+002, 0.0000000000000000E+000,-5.5170760992293424E+000, 0.0000000000000000E+000
1.3061708881318447E+002, 1.3061708881318447E+002, 0.0000000000000000E+000,-5.4630616945161172E+000, 0.0000000000000000E+000
1.3182567385564104E+002, 1.3182567385564104E+002, 0.0000000000000000E+000,-5.4093715282264734E+000, 0.0000000000000000E+000
1.3304544179780945E+002, 1.3304544179780945E+002, 0.0000000000000000E+000,-5.3560076505986345E+000, 0.0000000000000000E+000
1.3427649611378675E+002, 1.3427649611378675E+002, 0.0000000000000000E+000,-5.3029720755112484E+000, 0.0000000000000000E+000
1.3551894123510399E+002, 1.3551894123510399E+002, 0.0000000000000000E+000,-5.2502667793442388E+000, 0.0000000000000000E+000
1.3677288255958533E+002, 1.3677288255958533E+002, 0.0000000000000000E+000,-5.1978936998506811E+000, 0.0000000000000000E+000
1.3803842646028892E+002, 1.3803842646028892E+002, 0.0000000000000000E+000,-5.1458547350431774E+000, 0.0000000000000000E+000
1.3931568029453075E+002, 1.3931568029453075E+002, 0.0000000000000000E+000,-5.0941517420878135E+000, 0.0000000000000000E+000
1.4060475241299184E+002, 1.4060475241299184E+002, 0.0000000000000000E+000,-5.0427865362174975E+000, 0.0000000000000000E+000
1.4190575216890969E+002, 1.4190575216890969E+002, 0.0000000000000000E+000,-4.9917608896561099E+000, 0.0000000000000000E+000
1.4321878992735483E+002, 1.4321878992735483E+002, 0.0000000000000000E+000,-4.9410765305637296E+000, 0.0000000000000000E+000
1.4454397707459327E+002, 1.4454397707459327E+002, 0.0000000000000000E+000,-4.8907351419951484E+000, 0.0000000000000000E+000
1.4588142602753538E+002, 1.4588142602753538E+002, 0.0000000000000000E+000,-4.8407383608822867E+000, 0.0000000000000000E+000
1.4723125024327246E+002, 1.4723125024327246E+002, 0.0000000000000000E+000,-4.7910877770323692E+000, 0.0000000000000000E+000
