#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2019-04-07 17:21:14.140
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 60.4717 V
#Offset: 0.000250943 V
#Relative: no
#Channel: Channel 2
#Range: 61.15 V
#Offset: 0.00113789 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
100,-0.01441073740983348,-60.297930829853719,168.66608531078805
109.74987654930555,-0.012770529115170156,-62.194615171860974,-166.48703219769158
120.45035402587824,-0.014416042247768563,-59.432451469039336,169.50471333495835
132.19411484660287,-0.015232786235567662,-60.716807379029802,-176.22790710957329
145.08287784959401,-0.013049061536267101,-62.308896964397832,-171.02590350799824
159.22827933410923,-0.012834923491749962,-59.59336677189669,-173.32580148979756
174.75284000076829,-0.01331519963699267,-61.14876640618369,176.30840892652941
191.79102616724887,-0.014277235088483789,-61.101045379326948,171.60903620297856
210.49041445120199,-0.014308815432371098,-61.434212134603463,173.66049359387102
231.01297000831605,-0.013528859031055015,-61.478471564748332,-179.69292242207331
253.53644939701115,-0.013135660228726469,-60.196432319177681,-172.73307306380505
278.2559402207126,-0.013237001393454557,-62.234701931160473,-173.58600305784952
305.38555088334158,-0.013481148889701856,-60.60725140358366,178.08245271489017
335.16026509388411,-0.011589054882560415,-60.705357564513527,-176.36128615038925
367.83797718286343,-0.0111834012559797,-60.689339873641678,-174.08268584190182
403.70172585965537,-0.012622437661321617,-59.086960387074413,-178.97963718022154
443.06214575838817,-0.012815355761429366,-60.754964032770296,164.54762932877276
486.26015800653533,-0.011151554529414175,-63.257875373074945,174.93029369123676
533.66992312063121,-0.010842150754293095,-57.927042832660561,-178.10699634266149
585.70208180566669,-0.0077681422134392112,-57.665227003733186,-179.47754047183034
642.80731172843196,-0.012540793656821302,-61.627610153986573,-161.92115894529928
705.48023107186452,-0.0099885353627959892,-58.87622643072806,173.45947138608233
774.26368268112697,-0.0042515999085993156,-63.464922514222899,162.49232090064362
849.75343590864384,-0.0064215452341830851,-60.524783001842898,-170.04167373345615
932.60334688321996,-0.0078334825593529452,-58.947037745539667,171.60544169565239
1023.5310218990269,-0.00096157793303020098,-63.115596570750725,-159.61629195613182
1123.3240329780276,-0.00099858942741896722,-60.303343690135875,149.62468316388518
1232.8467394420659,0.0029949700732545136,-58.484954138022772,-162.13033039158836
1353.0477745798075,0.0074515789623119484,-58.370328749332344,149.66050242937317
1484.9682622544651,0.0083216096724914607,-60.389333953667517,173.12875886544796
1629.7508346206434,0.0076933412477244809,-59.430058803344124,160.60214499860371
1788.6495290574351,0.01783461377963283,-58.692521447486612,-179.27584535621298
1963.0406500402726,0.023346619933569825,-60.351587467953792,176.51798066489755
2154.4346900318819,0.027805514341352471,-56.735116292051231,173.49142493451089
2364.4894126454069,0.037666628620020834,-59.617150332537214,-172.24221334318725
2595.0242113997369,0.048533531998045658,-59.80456619133561,171.11572892928098
2848.0358684358021,0.057873403957128811,-64.694533766247218,159.59993677372381
3125.7158496882353,0.06413018583359463,-58.062876647101042,-179.30270251833483
3430.4692863149189,0.076205169307459866,-60.520817067396251,134.99163865605016
3764.9358067924677,0.088634553140399613,-59.861782058896594,-172.87673845045387
4132.0124001153345,0.10154474956444057,-63.527532654081568,179.06301717561612
4534.8785081285814,0.10545167457045132,-63.363588017380756,159.96439463700364
4977.0235643321139,0.1188998121407441,-57.586270606728995,157.89210009715316
5462.2772176843428,0.12910348908201702,-57.87349421316371,-176.96626478179584
5994.8425031894085,0.13715100202451314,-59.290370391058794,176.01454488683987
6579.3322465756819,0.14400270236494112,-64.182013182613971,165.17203219048503
7220.8090183854638,0.14208237840522256,-62.428256528017798,156.28139870079795
7924.8289835391688,0.1556292034872708,-59.487686111786424,152.97092808204269
8697.4900261778348,0.1495855926639986,-60.142226832667788,150.48702817664466
9545.4845666183483,0.14326703851791639,-58.169642720149106,137.65108468084762
10476.157527896652,0.14412188596851697,-50.957013400456283,150.20408711074273
11497.569953977356,0.14599129774607347,-59.382159600219246,-49.502655342229517
12618.568830660211,0.12302366188454633,-54.941105093953482,130.73139709367013
13848.863713938732,0.12858246185540201,-61.242847085973615,139.69139711297427
15199.110829529331,0.12498708369721771,-60.210274595288325,118.78419801091314
16681.005372000593,0.10918253761255126,-55.131899152584147,95.573934045589837
18307.382802953678,0.094607306835603047,-52.400255876525101,145.208779566847
20092.330025650481,0.095111932234717866,-57.903536921246257,149.30244751199814
22051.307399030458,0.095863223971669853,-51.922269935272723,118.54410985461459
24201.282647943812,0.093749064034373109,-53.564972385055228,104.69613359609014
26560.877829466866,0.092556088565839426,-53.519672872177509,123.62236280423394
29150.530628251756,0.092946944536331844,-51.99893258067484,105.58127306344602
31992.671377973846,0.088812260057773401,-54.006827357314116,97.362454841406361
35111.917342151304,0.081581867759686927,-53.14107759512779,127.14538661073131
38535.285937105313,0.092569400215480477,-50.112053642961811,110.39953292417255
42292.42874389499,0.080204782743589859,-50.503031611923468,111.1417887283135
46415.888336127777,0.075900557419106451,-49.434493926389592,108.64644407555303
50941.3801481638,0.080252249341712878,-51.293322362066547,121.77026306041745
55908.101825122227,0.09565524794056543,-50.627585021290912,100.36738035904321
61359.072734131754,0.093953071870511426,-48.409114044460956,107.63583052738481
67341.506577508218,0.079115079320238382,-46.006079654548024,114.38972764532298
73907.220335257749,0.10085679391129077,-45.46743334276993,101.22221511022721
81113.083078968717,0.10357579368688556,-45.401102813942956,97.755783059573972
89021.508544503828,0.10922248295755542,-47.000678436808158,94.213063282380588
97700.995729922564,0.095905434957959099,-44.450705944669821,82.088306203346292
107226.72220103232,0.097971886750735246,-43.375448005394112,87.508489162611852
117681.19524349979,0.11107730361376826,-43.690649935089098,76.359958877922139
129154.96650148839,0.10474512414456055,-43.614651119176358,75.595264169299725
141747.41629268049,0.11667479452785814,-41.258395108164251,81.711307065965997
155567.61439304723,0.094516527634771683,-43.348609264896595,87.121113713078543
170735.26474706904,0.10565673159048673,-40.805906717037871,70.927117263647261
187381.7422860385,0.10191639883411617,-40.422196598650729,64.331536452061243
205651.23083486513,0.10901666980808292,-39.184296595953022,68.097549568823695
225701.97196339193,0.065584529400853228,-38.643084388370809,68.813185310369818
247707.63559917113,0.086396087489145346,-37.966520881850535,58.293178582346137
271858.82427329401,0.082160874551228641,-37.569083203380735,64.31214833671909
298364.72402833402,0.063008745709240699,-36.942362902913295,50.519290970834767
327454.91628777282,0.066275067289022382,-36.772709888935836,53.012728195740458
359381.3663804626,0.042833509895506973,-36.820552660100134,44.661700895735862
394420.60594376561,0.042904719564938132,-35.708237339758298,47.848842602821477
432876.12810830574,0.01230168890281827,-35.876130741819566,46.421466955061589
475081.01621027983,0.011499802091280032,-34.598075581813468,40.63102984532415
521400.82879996841,0.0043782636284565909,-34.532750604008086,36.248296054997013
572236.76593502203,-0.011516801868674379,-34.008453961375935,35.287746538868788
