
Label=V(Out3) vs V(V3)
LabelX=V(V3)
LabelY=V(Out3)
Data Point Count=209
V(V3),V(V3),V(Out3)
-6.8550000000001021E-001,-6.8550000000001021E-001,-4.4264789754960194E+000
-6.3550000000001017E-001,-6.3550000000001017E-001,-4.4205574200974276E+000
-5.8550000000001012E-001,-5.8550000000001012E-001,-4.4136378261100297E+000
-5.3550000000001008E-001,-5.3550000000001008E-001,-4.4054869614246872E+000
-4.8550000000001009E-001,-4.8550000000001009E-001,-4.3958023001364293E+000
-4.3550000000001010E-001,-4.3550000000001010E-001,-4.3843133521840967E+000
-3.8550000000001011E-001,-3.8550000000001011E-001,-4.3708367468410527E+000
-3.3550000000001012E-001,-3.3550000000001012E-001,-4.3554352209056484E+000
-2.8550000000001013E-001,-2.8550000000001013E-001,-4.3383662058994297E+000
-2.3550000000001015E-001,-2.3550000000001015E-001,-4.3200408812447870E+000
-1.8550000000001016E-001,-1.8550000000001016E-001,-4.3008574761126930E+000
-1.3550000000001017E-001,-1.3550000000001017E-001,-4.2811177753704470E+000
-8.5500000000010165E-002,-8.5500000000010165E-002,-4.2610343996171718E+000
-3.5500000000010162E-002,-3.5500000000010162E-002,-4.2407357623760831E+000
 1.4499999999989840E-002, 1.4499999999989840E-002,-4.2203043766275332E+000
 6.4499999999989843E-002, 6.4499999999989843E-002,-4.1997888257414528E+000
 1.1449999999998985E-001, 1.1449999999998985E-001,-4.1792377675231478E+000
 1.6449999999998985E-001, 1.6449999999998985E-001,-4.1586517834941059E+000
 2.1449999999998987E-001, 2.1449999999998987E-001,-4.1380622899331669E+000
 2.6449999999998985E-001, 2.6449999999998985E-001,-4.1174658194220548E+000
 3.1449999999998984E-001, 3.1449999999998984E-001,-4.0968707019646216E+000
 3.6449999999998983E-001, 3.6449999999998983E-001,-4.0762850854421755E+000
 4.1449999999998982E-001, 4.1449999999998982E-001,-4.0557023869681608E+000
 4.6449999999998981E-001, 4.6449999999998981E-001,-4.0351376062252946E+000
 5.1449999999998985E-001, 5.1449999999998985E-001,-4.0145951718845820E+000
 5.6449999999998990E-001, 5.6449999999998990E-001,-3.9940545052800740E+000
 6.1449999999998994E-001, 6.1449999999998994E-001,-3.9735387540457627E+000
 6.6449999999998999E-001, 6.6449999999998999E-001,-3.9492838319424921E+000
 7.1449999999999003E-001, 7.1449999999999003E-001,-3.9110526632063651E+000
 7.6449999999999008E-001, 7.6449999999999008E-001,-3.8587849081276184E+000
 8.1449999999999012E-001, 8.1449999999999012E-001,-3.7930570129512562E+000
 8.6449999999999017E-001, 8.6449999999999017E-001,-3.7143943666297203E+000
 9.1449999999999021E-001, 9.1449999999999021E-001,-3.6232905923622303E+000
 9.6449999999999025E-001, 9.6449999999999025E-001,-3.5202150743042893E+000
 1.0144999999999902E+000, 1.0144999999999902E+000,-3.4056364384256788E+000
 1.0644999999999902E+000, 1.0644999999999902E+000,-3.2799804569108639E+000
 1.1144999999999903E+000, 1.1144999999999903E+000,-3.1436979591280902E+000
 1.1644999999999903E+000, 1.1644999999999903E+000,-2.9972366053958956E+000
 1.2144999999999904E+000, 1.2144999999999904E+000,-2.8410503563976528E+000
 1.2644999999999904E+000, 1.2644999999999904E+000,-2.6756662483279805E+000
 1.3144999999999905E+000, 1.3144999999999905E+000,-2.5016492089689510E+000
 1.3644999999999905E+000, 1.3644999999999905E+000,-2.3196953943191563E+000
 1.4144999999999905E+000, 1.4144999999999905E+000,-2.1306820467517600E+000
 1.4644999999999906E+000, 1.4644999999999906E+000,-1.9356541499389510E+000
 1.5144999999999906E+000, 1.5144999999999906E+000,-1.7355785621782780E+000
 1.5644999999999907E+000, 1.5644999999999907E+000,-1.5301775960956276E+000
 1.6144999999999907E+000, 1.6144999999999907E+000,-1.3169234768058140E+000
 1.6644999999999908E+000, 1.6644999999999908E+000,-1.0935748949784345E+000
 1.7144999999999908E+000, 1.7144999999999908E+000,-8.5994903120021093E-001
 1.7644999999999909E+000, 1.7644999999999909E+000,-6.1695580987450116E-001
 1.8144999999999909E+000, 1.8144999999999909E+000,-3.6561029014501650E-001
 1.8644999999999909E+000, 1.8644999999999909E+000,-1.0680435239336002E-001
 1.9144999999999910E+000, 1.9144999999999910E+000, 1.5866845923602810E-001
