
Label=dB(v(Out3)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out3)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out3)/(V(Vid1)-V(Vid2))),dB(v(Out3)/(V(Vid1)-V(Vid2)))
3.0199517204020492E+002, 3.0199517204020492E+002, 0.0000000000000000E+000,-1.3665388238845633E+001, 0.0000000000000000E+000
3.0478949896280170E+002, 3.0478949896280170E+002, 0.0000000000000000E+000,-1.3665388035120579E+001, 0.0000000000000000E+000
3.0760968147407425E+002, 3.0760968147407425E+002, 0.0000000000000000E+000,-1.3665387835486356E+001, 0.0000000000000000E+000
3.1045595881283907E+002, 3.1045595881283907E+002, 0.0000000000000000E+000,-1.3665387639418478E+001, 0.0000000000000000E+000
3.1332857243156212E+002, 3.1332857243156212E+002, 0.0000000000000000E+000,-1.3665387447988858E+001, 0.0000000000000000E+000
3.1622776601684154E+002, 3.1622776601684154E+002, 0.0000000000000000E+000,-1.3665387260217853E+001, 0.0000000000000000E+000
3.1915378551007984E+002, 3.1915378551007984E+002, 0.0000000000000000E+000,-1.3665387076907454E+001, 0.0000000000000000E+000
3.2210687912834720E+002, 3.2210687912834720E+002, 0.0000000000000000E+000,-1.3665386896901593E+001, 0.0000000000000000E+000
3.2508729738543821E+002, 3.2508729738543821E+002, 0.0000000000000000E+000,-1.3665386721193498E+001, 0.0000000000000000E+000
3.2809529311312292E+002, 3.2809529311312292E+002, 0.0000000000000000E+000,-1.3665386548882971E+001, 0.0000000000000000E+000
3.3113112148259506E+002, 3.3113112148259506E+002, 0.0000000000000000E+000,-1.3665386380107968E+001, 0.0000000000000000E+000
3.3419504002611831E+002, 3.3419504002611831E+002, 0.0000000000000000E+000,-1.3665386215412649E+001, 0.0000000000000000E+000
3.3728730865887297E+002, 3.3728730865887297E+002, 0.0000000000000000E+000,-1.3665386054501221E+001, 0.0000000000000000E+000
3.4040818970100503E+002, 3.4040818970100503E+002, 0.0000000000000000E+000,-1.3665385896364921E+001, 0.0000000000000000E+000
3.4355794789987885E+002, 3.4355794789987885E+002, 0.0000000000000000E+000,-1.3665385742459833E+001, 0.0000000000000000E+000
3.4673685045253592E+002, 3.4673685045253592E+002, 0.0000000000000000E+000,-1.3665385591955729E+001, 0.0000000000000000E+000
3.4994516702836165E+002, 3.4994516702836165E+002, 0.0000000000000000E+000,-1.3665385444432520E+001, 0.0000000000000000E+000
3.5318316979196140E+002, 3.5318316979196140E+002, 0.0000000000000000E+000,-1.3665385300552835E+001, 0.0000000000000000E+000
3.5645113342624876E+002, 3.5645113342624876E+002, 0.0000000000000000E+000,-1.3665385159556410E+001, 0.0000000000000000E+000
3.5974933515574691E+002, 3.5974933515574691E+002, 0.0000000000000000E+000,-1.3665385021910874E+001, 0.0000000000000000E+000
3.6307805477010601E+002, 3.6307805477010601E+002, 0.0000000000000000E+000,-1.3665384887884928E+001, 0.0000000000000000E+000
3.6643757464783801E+002, 3.6643757464783801E+002, 0.0000000000000000E+000,-1.3665384756915016E+001, 0.0000000000000000E+000
3.6982817978027100E+002, 3.6982817978027100E+002, 0.0000000000000000E+000,-1.3665384628460075E+001, 0.0000000000000000E+000
3.7325015779572544E+002, 3.7325015779572544E+002, 0.0000000000000000E+000,-1.3665384503451126E+001, 0.0000000000000000E+000
3.7670379898391383E+002, 3.7670379898391383E+002, 0.0000000000000000E+000,-1.3665384381034087E+001, 0.0000000000000000E+000
3.8018939632056623E+002, 3.8018939632056623E+002, 0.0000000000000000E+000,-1.3665384262096774E+001, 0.0000000000000000E+000
3.8370724549228390E+002, 3.8370724549228390E+002, 0.0000000000000000E+000,-1.3665384145813018E+001, 0.0000000000000000E+000
3.8725764492162244E+002, 3.8725764492162244E+002, 0.0000000000000000E+000,-1.3665384032732295E+001, 0.0000000000000000E+000
3.9084089579240737E+002, 3.9084089579240737E+002, 0.0000000000000000E+000,-1.3665383922362492E+001, 0.0000000000000000E+000
3.9445730207528385E+002, 3.9445730207528385E+002, 0.0000000000000000E+000,-1.3665383814797609E+001, 0.0000000000000000E+000
3.9810717055350278E+002, 3.9810717055350278E+002, 0.0000000000000000E+000,-1.3665383709996705E+001, 0.0000000000000000E+000
4.0179081084894557E+002, 4.0179081084894557E+002, 0.0000000000000000E+000,-1.3665383607913935E+001, 0.0000000000000000E+000
4.0550853544838958E+002, 4.0550853544838958E+002, 0.0000000000000000E+000,-1.3665383508232772E+001, 0.0000000000000000E+000
4.0926065973001670E+002, 4.0926065973001670E+002, 0.0000000000000000E+000,-1.3665383411587303E+001, 0.0000000000000000E+000
4.1304750199016729E+002, 4.1304750199016729E+002, 0.0000000000000000E+000,-1.3665383317657028E+001, 0.0000000000000000E+000
4.1686938347034140E+002, 4.1686938347034140E+002, 0.0000000000000000E+000,-1.3665383226140468E+001, 0.0000000000000000E+000
4.2072662838445018E+002, 4.2072662838445018E+002, 0.0000000000000000E+000,-1.3665383137261436E+001, 0.0000000000000000E+000
4.2461956394631909E+002, 4.2461956394631909E+002, 0.0000000000000000E+000,-1.3665383051328906E+001, 0.0000000000000000E+000
4.2854852039744583E+002, 4.2854852039744583E+002, 0.0000000000000000E+000,-1.3665382967336413E+001, 0.0000000000000000E+000
4.3251383103501507E+002, 4.3251383103501507E+002, 0.0000000000000000E+000,-1.3665382885739536E+001, 0.0000000000000000E+000
4.3651583224017241E+002, 4.3651583224017241E+002, 0.0000000000000000E+000,-1.3665382807201794E+001, 0.0000000000000000E+000
4.4055486350655985E+002, 4.4055486350655985E+002, 0.0000000000000000E+000,-1.3665382730856749E+001, 0.0000000000000000E+000
4.4463126746911536E+002, 4.4463126746911536E+002, 0.0000000000000000E+000,-1.3665382656686283E+001, 0.0000000000000000E+000
4.4874538993313894E+002, 4.4874538993313894E+002, 0.0000000000000000E+000,-1.3665382585206959E+001, 0.0000000000000000E+000
4.5289757990362762E+002, 4.5289757990362762E+002, 0.0000000000000000E+000,-1.3665382515834938E+001, 0.0000000000000000E+000
4.5708818961488203E+002, 4.5708818961488203E+002, 0.0000000000000000E+000,-1.3665382448764857E+001, 0.0000000000000000E+000
4.6131757456038650E+002, 4.6131757456038650E+002, 0.0000000000000000E+000,-1.3665382384272087E+001, 0.0000000000000000E+000
4.6558609352296617E+002, 4.6558609352296617E+002, 0.0000000000000000E+000,-1.3665382321998756E+001, 0.0000000000000000E+000
4.6989410860522275E+002, 4.6989410860522275E+002, 0.0000000000000000E+000,-1.3665382262130956E+001, 0.0000000000000000E+000
4.7424198526025208E+002, 4.7424198526025208E+002, 0.0000000000000000E+000,-1.3665382204030930E+001, 0.0000000000000000E+000
4.7863009232264591E+002, 4.7863009232264591E+002, 0.0000000000000000E+000,-1.3665382148661546E+001, 0.0000000000000000E+000
4.8305880203978035E+002, 4.8305880203978035E+002, 0.0000000000000000E+000,-1.3665382095303348E+001, 0.0000000000000000E+000
4.8752849010339412E+002, 4.8752849010339412E+002, 0.0000000000000000E+000,-1.3665382044124142E+001, 0.0000000000000000E+000
4.9203953568145886E+002, 4.9203953568145886E+002, 0.0000000000000000E+000,-1.3665381995013972E+001, 0.0000000000000000E+000
4.9659232145034412E+002, 4.9659232145034412E+002, 0.0000000000000000E+000,-1.3665381948384745E+001, 0.0000000000000000E+000
5.0118723362728042E+002, 5.0118723362728042E+002, 0.0000000000000000E+000,-1.3665381903589601E+001, 0.0000000000000000E+000
5.0582466200312228E+002, 5.0582466200312228E+002, 0.0000000000000000E+000,-1.3665381861216199E+001, 0.0000000000000000E+000
5.1050499997541465E+002, 5.1050499997541465E+002, 0.0000000000000000E+000,-1.3665381820552794E+001, 0.0000000000000000E+000
5.1522864458176502E+002, 5.1522864458176502E+002, 0.0000000000000000E+000,-1.3665381782341214E+001, 0.0000000000000000E+000
5.1999599653352470E+002, 5.1999599653352470E+002, 0.0000000000000000E+000,-1.3665381746130725E+001, 0.0000000000000000E+000
5.2480746024978146E+002, 5.2480746024978146E+002, 0.0000000000000000E+000,-1.3665381712062580E+001, 0.0000000000000000E+000
5.2966344389166682E+002, 5.2966344389166682E+002, 0.0000000000000000E+000,-1.3665381679721554E+001, 0.0000000000000000E+000
5.3456435939698076E+002, 5.3456435939698076E+002, 0.0000000000000000E+000,-1.3665381649720466E+001, 0.0000000000000000E+000
5.3951062251513690E+002, 5.3951062251513690E+002, 0.0000000000000000E+000,-1.3665381621797039E+001, 0.0000000000000000E+000
5.4450265284243062E+002, 5.4450265284243062E+002, 0.0000000000000000E+000,-1.3665381595927412E+001, 0.0000000000000000E+000
5.4954087385763410E+002, 5.4954087385763410E+002, 0.0000000000000000E+000,-1.3665381571801866E+001, 0.0000000000000000E+000
5.5462571295792043E+002, 5.5462571295792043E+002, 0.0000000000000000E+000,-1.3665381549913080E+001, 0.0000000000000000E+000
5.5975760149511996E+002, 5.5975760149511996E+002, 0.0000000000000000E+000,-1.3665381530098287E+001, 0.0000000000000000E+000
5.6493697481231243E+002, 5.6493697481231243E+002, 0.0000000000000000E+000,-1.3665381512123195E+001, 0.0000000000000000E+000
5.7016427228075759E+002, 5.7016427228075759E+002, 0.0000000000000000E+000,-1.3665381496393355E+001, 0.0000000000000000E+000
5.7543993733716718E+002, 5.7543993733716718E+002, 0.0000000000000000E+000,-1.3665381482272881E+001, 0.0000000000000000E+000
5.8076441752132246E+002, 5.8076441752132246E+002, 0.0000000000000000E+000,-1.3665381470295548E+001, 0.0000000000000000E+000
5.8613816451403932E+002, 5.8613816451403932E+002, 0.0000000000000000E+000,-1.3665381460436809E+001, 0.0000000000000000E+000
5.9156163417548464E+002, 5.9156163417548464E+002, 0.0000000000000000E+000,-1.3665381452486274E+001, 0.0000000000000000E+000
5.9703528658384766E+002, 5.9703528658384766E+002, 0.0000000000000000E+000,-1.3665381446435084E+001, 0.0000000000000000E+000
6.0255958607436867E+002, 6.0255958607436867E+002, 0.0000000000000000E+000,-1.3665381442396534E+001, 0.0000000000000000E+000
6.0813500127872896E+002, 6.0813500127872896E+002, 0.0000000000000000E+000,-1.3665381440293793E+001, 0.0000000000000000E+000
6.1376200516480549E+002, 6.1376200516480549E+002, 0.0000000000000000E+000,-1.3665381440300052E+001, 0.0000000000000000E+000
