#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2019-09-18 19:33:57.381
#Sample rate: 80000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 5 V/div Offset: 0 V
#Channel 2: Range: 5 V/div Offset: 0 V
#Math 1: Function: C1/10

Time (s),Channel 1 (V),Channel 2 (V),Math 1 (V)
-0.051193750000000003,-0.95619331398831042,2.8540735993893662,-0.095619331398831039
-0.051181249999999998,-0.94142972524328128,2.816750573371896,-0.094142972524328142
-0.051168749999999999,-0.92297523931201375,2.7794275473544601,-0.092297523931201372
-0.05115625,-0.90821165056699316,2.7421045213370068,-0.090821165056699321
-0.051143750000000002,-0.88975716463571719,2.7010491927178086,-0.088975716463571719
-0.051131250000000003,-0.87130267870444134,2.6599938640986101,-0.087130267870444131
-0.051118749999999998,-0.85284819277315704,2.6301354432846269,-0.08528481927731571
-0.051106249999999999,-0.83439370684188952,2.5853478120637039,-0.083439370684188954
-0.05109375,-0.82332101528312407,2.5442924834445053,-0.082332101528312412
-0.051081250000000002,-0.80117563216559295,2.5032371548253067,-0.080117563216559301
-0.051068750000000003,-0.7827211462343171,2.4621818262061086,-0.078272114623431713
-0.051056249999999997,-0.76057576311677944,2.4211264975868914,-0.076057576311677949
-0.051043749999999999,-0.74581217437176528,2.3800711689677114,-0.074581217437176522
-0.05103125,-0.72366679125423428,2.335283537746768,-0.072366679125423425
-0.051018750000000002,-0.70521230532295842,2.2942282091275694,-0.070521230532295837
-0.051006250000000003,-0.68675781939168246,2.2494405779066255,-0.068675781939168248
-0.050993749999999997,-0.66461243627414135,2.2083852492874065,-0.066461243627414138
-0.050981249999999999,-0.64246705315662045,2.1635976180664835,-0.064246705315662039
-0.05096875,-0.62401256722534448,2.1188099868455397,-0.062401256722534451
-0.050956250000000002,-0.60555808129406863,2.0740223556245958,-0.060555808129406863
-0.050943750000000003,-0.58341269817653763,2.0255024218019066,-0.058341269817653765
-0.050931249999999997,-0.56495821224525322,1.9807147905809426,-0.056495821224525324
-0.050918749999999999,-0.5465037263139858,1.9359271593600194,-0.054650372631398582
-0.05090625,-0.5243583431964548,1.8874072255373302,-0.052435834319645477
-0.050893750000000001,-0.50221296007892369,1.835154989112896,-0.050221296007892366
-0.050881250000000003,-0.48006757696139263,1.7903673578919521,-0.048006757696139261
-0.050868749999999997,-0.46161309103010667,1.7418474240692425,-0.046161309103010667
-0.050856249999999999,-0.43946770791258571,1.6970597928483193,-0.043946770791258569
-0.05084375,-0.4210132219813098,1.6448075564238849,-0.04210132219813098
-0.050831250000000001,-0.39886783886377875,1.5962876226011959,-0.039886783886377876
-0.050818750000000003,-0.37672245574624769,1.5514999913802521,-0.037672245574624771
-0.050806249999999997,-0.35826796981496173,1.506712360159288,-0.03582679698149617
-0.050793749999999999,-0.33612258669744077,1.4619247289383646,-0.033612258669744079
-0.05078125,-0.31766810076616486,1.4134047951156756,-0.031766810076616483
-0.050768750000000001,-0.29921361483488895,1.3686171638947318,-0.029921361483488895
-0.050756250000000003,-0.27706823171735795,1.3238295326737881,-0.027706823171735794
-0.050743750000000004,-0.25861374578609042,1.2790419014528647,-0.025861374578609042
-0.050731249999999999,-0.24015925985480616,1.2342542702319006,-0.024015925985480614
-0.05071875,-0.2180138767372751,1.1857343364092114,-0.02180138767372751
-0.050706250000000001,-0.19955939080599921,1.1409467051882678,-0.019955939080599921
-0.050693750000000003,-0.18110490487472333,1.0924267713655786,-0.018110490487472333
-0.050681250000000004,-0.16634131612970934,1.0476391401446554,-0.016634131612970934
-0.050668749999999999,-0.14419593301217157,1.0028515089236911,-0.014419593301217157
-0.05065625,-0.12574144708089569,0.95433157510100208,-0.012574144708089569
-0.050643750000000001,-0.1072869611496198,0.90954394388005833,-0.01072869611496198
-0.050631250000000003,-0.092523372404599097,0.86102401005736928,-0.00925233724045991
-0.050618750000000004,-0.077759783659585108,0.81996868143818946,-0.0077759783659585103
-0.050606249999999998,-0.062996194914557685,0.77144874761548177,-0.0062996194914557687
-0.05059375,-0.048232606169536979,0.72666111639453801,-0.0048232606169536976
-0.050581250000000001,-0.033469017424516273,0.68187348517359425,-0.0033469017424516273
-0.050568750000000003,-0.02608722305200592,0.62962124874915992,-0.0026087223052005922
-0.050556250000000004,-0.015014531493245427,0.57363670972300562,-0.0015014531493245426
-0.050543749999999998,-0.015014531493240391,0.50645526289156451,-0.0015014531493240391
-0.05053125,-0.015014531493240391,0.46539993427236614,-0.0015014531493240391
-0.050518750000000001,-0.018705428679495567,0.4318092108566583,-0.0018705428679495566
-0.050506250000000003,-0.018705428679495567,0.39075388223745988,-0.0018705428679495566
-0.050493750000000004,-0.01501453149324207,0.34969855361828006,-0.0015014531493242069
-0.050481249999999998,-0.018705428679495567,0.30491092239731765,-0.0018705428679495566
-0.05046875,-0.015014531493240391,0.26758789637986452,-0.0015014531493240391
-0.050456250000000001,-0.015014531493240391,0.23026487036241142,-0.0015014531493240391
-0.050443750000000002,-0.018705428679495567,0.18920954174321297,-0.0018705428679495566
-0.050431250000000004,-0.018705428679495567,0.15561881832752042,-0.0018705428679495566
-0.050418749999999998,-0.018705428679495567,0.12576039751354265,-0.0018705428679495566
-0.05040625,-0.015014531493240391,0.10336658190307078,-0.0015014531493240391
-0.050393750000000001,-0.015014531493240391,0.080972766292598905,-0.0015014531493240391
-0.050381250000000002,-0.015014531493240391,0.062311253283872339,-0.0015014531493240391
-0.050368750000000004,-0.015014531493240391,0.039917437673410647,-0.0015014531493240391
-0.050356249999999998,-0.015014531493240391,0.021255924664673905,-0.0015014531493240391
-0.05034375,-0.018705428679495567,-0.0011378909457979702,-0.0018705428679495566
-0.050331250000000001,-0.015014531493240391,-0.027264009158015159,-0.0015014531493240391
-0.050318750000000002,-0.018705428679495567,-0.045925522166741721,-0.0018705428679495566
-0.050306250000000004,-0.01501453149324207,-0.072051640378947027,-0.0015014531493242069
-0.050293749999999998,-0.018705428679495567,-0.094445455989430785,-0.0018705428679495566
-0.05028125,-0.015014531493240391,-0.11310696899815735,-0.0015014531493240391
