
Label=dB(v(Out3)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out3)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out3)/(V(Vid1)-V(Vid2))),dB(v(Out3)/(V(Vid1)-V(Vid2)))
1.5703628043335598E+002, 1.5703628043335598E+002, 0.0000000000000000E+000, 5.8487374899583770E+001, 0.0000000000000000E+000
1.5848931924611210E+002, 1.5848931924611210E+002, 0.0000000000000000E+000, 5.8487375697617843E+001, 0.0000000000000000E+000
1.5995580286146765E+002, 1.5995580286146765E+002, 0.0000000000000000E+000, 5.8487376481501762E+001, 0.0000000000000000E+000
1.6143585568264942E+002, 1.6143585568264942E+002, 0.0000000000000000E+000, 5.8487377250642361E+001, 0.0000000000000000E+000
1.6292960326397306E+002, 1.6292960326397306E+002, 0.0000000000000000E+000, 5.8487378005323123E+001, 0.0000000000000000E+000
1.6443717232149402E+002, 1.6443717232149402E+002, 0.0000000000000000E+000, 5.8487378747445106E+001, 0.0000000000000000E+000
1.6595869074375693E+002, 1.6595869074375693E+002, 0.0000000000000000E+000, 5.8487379475603440E+001, 0.0000000000000000E+000
1.6749428760264462E+002, 1.6749428760264462E+002, 0.0000000000000000E+000, 5.8487380188509078E+001, 0.0000000000000000E+000
1.6904409316432731E+002, 1.6904409316432731E+002, 0.0000000000000000E+000, 5.8487380889574190E+001, 0.0000000000000000E+000
1.7060823890031327E+002, 1.7060823890031327E+002, 0.0000000000000000E+000, 5.8487381577470373E+001, 0.0000000000000000E+000
1.7218685749860165E+002, 1.7218685749860165E+002, 0.0000000000000000E+000, 5.8487382252449549E+001, 0.0000000000000000E+000
1.7378008287493853E+002, 1.7378008287493853E+002, 0.0000000000000000E+000, 5.8487382914762108E+001, 0.0000000000000000E+000
1.7538805018417713E+002, 1.7538805018417713E+002, 0.0000000000000000E+000, 5.8487383565362265E+001, 0.0000000000000000E+000
1.7701089583174314E+002, 1.7701089583174314E+002, 0.0000000000000000E+000, 5.8487384202353482E+001, 0.0000000000000000E+000
1.7864875748520612E+002, 1.7864875748520612E+002, 0.0000000000000000E+000, 5.8487384827418424E+001, 0.0000000000000000E+000
1.8030177408595796E+002, 1.8030177408595796E+002, 0.0000000000000000E+000, 5.8487385442804978E+001, 0.0000000000000000E+000
1.8197008586099943E+002, 1.8197008586099943E+002, 0.0000000000000000E+000, 5.8487386046643167E+001, 0.0000000000000000E+000
1.8365383433483575E+002, 1.8365383433483575E+002, 0.0000000000000000E+000, 5.8487386637853469E+001, 0.0000000000000000E+000
1.8535316234148229E+002, 1.8535316234148229E+002, 0.0000000000000000E+000, 5.8487387219274879E+001, 0.0000000000000000E+000
1.8706821403658122E+002, 1.8706821403658122E+002, 0.0000000000000000E+000, 5.8487387788542840E+001, 0.0000000000000000E+000
1.8879913490963054E+002, 1.8879913490963054E+002, 0.0000000000000000E+000, 5.8487388349005002E+001, 0.0000000000000000E+000
1.9054607179632595E+002, 1.9054607179632595E+002, 0.0000000000000000E+000, 5.8487388898953043E+001, 0.0000000000000000E+000
1.9230917289101708E+002, 1.9230917289101708E+002, 0.0000000000000000E+000, 5.8487389436217903E+001, 0.0000000000000000E+000
1.9408858775927908E+002, 1.9408858775927908E+002, 0.0000000000000000E+000, 5.8487389965774994E+001, 0.0000000000000000E+000
1.9588446735060026E+002, 1.9588446735060026E+002, 0.0000000000000000E+000, 5.8487390483690255E+001, 0.0000000000000000E+000
1.9769696401118739E+002, 1.9769696401118739E+002, 0.0000000000000000E+000, 5.8487390993046311E+001, 0.0000000000000000E+000
1.9952623149688930E+002, 1.9952623149688930E+002, 0.0000000000000000E+000, 5.8487391493414627E+001, 0.0000000000000000E+000
2.0137242498624019E+002, 2.0137242498624019E+002, 0.0000000000000000E+000, 5.8487391983863510E+001, 0.0000000000000000E+000
2.0323570109362356E+002, 2.0323570109362356E+002, 0.0000000000000000E+000, 5.8487392463535173E+001, 0.0000000000000000E+000
2.0511621788255798E+002, 2.0511621788255798E+002, 0.0000000000000000E+000, 5.8487392935815457E+001, 0.0000000000000000E+000
2.0701413487910568E+002, 2.0701413487910568E+002, 0.0000000000000000E+000, 5.8487393399249299E+001, 0.0000000000000000E+000
2.0892961308540544E+002, 2.0892961308540544E+002, 0.0000000000000000E+000, 5.8487393852999517E+001, 0.0000000000000000E+000
2.1086281499333046E+002, 2.1086281499333046E+002, 0.0000000000000000E+000, 5.8487394298758709E+001, 0.0000000000000000E+000
2.1281390459827276E+002, 2.1281390459827276E+002, 0.0000000000000000E+000, 5.8487394736173464E+001, 0.0000000000000000E+000
2.1478304741305499E+002, 2.1478304741305499E+002, 0.0000000000000000E+000, 5.8487395164449836E+001, 0.0000000000000000E+000
2.1677041048197111E+002, 2.1677041048197111E+002, 0.0000000000000000E+000, 5.8487395585651782E+001, 0.0000000000000000E+000
2.1877616239495694E+002, 2.1877616239495694E+002, 0.0000000000000000E+000, 5.8487395999419860E+001, 0.0000000000000000E+000
2.2080047330189171E+002, 2.2080047330189171E+002, 0.0000000000000000E+000, 5.8487396403627557E+001, 0.0000000000000000E+000
2.2284351492703215E+002, 2.2284351492703215E+002, 0.0000000000000000E+000, 5.8487396801159335E+001, 0.0000000000000000E+000
2.2490546058357992E+002, 2.2490546058357992E+002, 0.0000000000000000E+000, 5.8487397190807187E+001, 0.0000000000000000E+000
2.2698648518838405E+002, 2.2698648518838405E+002, 0.0000000000000000E+000, 5.8487397574006359E+001, 0.0000000000000000E+000
2.2908676527677920E+002, 2.2908676527677920E+002, 0.0000000000000000E+000, 5.8487397948335726E+001, 0.0000000000000000E+000
2.3120647901756141E+002, 2.3120647901756141E+002, 0.0000000000000000E+000, 5.8487398316475932E+001, 0.0000000000000000E+000
2.3334580622810225E+002, 2.3334580622810225E+002, 0.0000000000000000E+000, 5.8487398677302913E+001, 0.0000000000000000E+000
2.3550492838960298E+002, 2.3550492838960298E+002, 0.0000000000000000E+000, 5.8487399030170934E+001, 0.0000000000000000E+000
2.3768402866248971E+002, 2.3768402866248971E+002, 0.0000000000000000E+000, 5.8487399377204056E+001, 0.0000000000000000E+000
2.3988329190195114E+002, 2.3988329190195114E+002, 0.0000000000000000E+000, 5.8487399717716919E+001, 0.0000000000000000E+000
2.4210290467361995E+002, 2.4210290467361995E+002, 0.0000000000000000E+000, 5.8487400051451132E+001, 0.0000000000000000E+000
2.4434305526939937E+002, 2.4434305526939937E+002, 0.0000000000000000E+000, 5.8487400378907346E+001, 0.0000000000000000E+000
2.4660393372343614E+002, 2.4660393372343614E+002, 0.0000000000000000E+000, 5.8487400699474996E+001, 0.0000000000000000E+000
2.4888573182824135E+002, 2.4888573182824135E+002, 0.0000000000000000E+000, 5.8487401013655294E+001, 0.0000000000000000E+000
2.5118864315096030E+002, 2.5118864315096030E+002, 0.0000000000000000E+000, 5.8487401322267260E+001, 0.0000000000000000E+000
2.5351286304979308E+002, 2.5351286304979308E+002, 0.0000000000000000E+000, 5.8487401625394916E+001, 0.0000000000000000E+000
2.5585858869056693E+002, 2.5585858869056693E+002, 0.0000000000000000E+000, 5.8487401921110909E+001, 0.0000000000000000E+000
2.5822601906346205E+002, 2.5822601906346205E+002, 0.0000000000000000E+000, 5.8487402212564078E+001, 0.0000000000000000E+000
2.6061535499989202E+002, 2.6061535499989202E+002, 0.0000000000000000E+000, 5.8487402497196697E+001, 0.0000000000000000E+000
