#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2019-04-07 17:21:41.110
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 60.4717 V
#Offset: 0.000250943 V
#Relative: no
#Channel: Channel 2
#Range: 61.15 V
#Offset: 0.00113789 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
100,0.010465473068745713,-45.939961220034597,-28.344099262091717
109.74987654930555,0.0043666726089778927,-48.005355760507129,-0.088859295836229535
120.45035402587824,0.018035260645949423,-43.623562455703464,-3.0016749096265443
132.19411484660287,0.030073434042353332,-46.878884184171724,5.6202451746393223
145.08287784959401,0.015266310544181962,-50.748175507885655,-20.939476894020864
159.22827933410923,0.027896500005240098,-43.797807577002679,-0.58741261767537267
174.75284000076829,0.013230663011951792,-45.895830898092179,12.147306693737391
191.79102616724887,0.0092372185136744035,-48.254835796975186,-4.2068845744310437
210.49041445120199,0.0022801106699606314,-45.857100235725845,-28.076758292871336
231.01297000831605,0.02194862688610482,-47.79575265784387,8.2035049852429083
253.53644939701115,0.0028810855240268482,-44.584521680651868,-5.1785326311693325
278.2559402207126,0.017385208299833262,-45.791849568488857,1.1825085901417935
305.38555088334158,-0.00219151436555404,-45.440004835355268,10.744871539216234
335.16026509388411,0.035576769120587839,-45.036690733970204,1.698529689877045
367.83797718286343,0.02450085152167604,-46.417660371933493,-5.7395471126477737
403.70172585965537,0.023687088223152013,-47.312596695974662,-11.21235634772647
443.06214575838817,0.017272681816618101,-44.943957098061624,3.7202538819624635
486.26015800653533,0.0049896413983397574,-42.43029495211934,-24.046221529871161
533.66992312063121,0.011298124908458745,-46.252198387625604,-16.270042426329837
585.70208180566669,0.025669073084173162,-43.113752847896365,0.19625392689509091
642.80731172843196,0.0098693147446125926,-44.203325470898619,-19.790800026227799
705.48023107186452,-0.014761820684383,-47.165723185606403,-9.4186012587791197
774.26368268112697,0.013264015616581764,-46.106097966141732,5.0909860685060231
849.75343590864384,-0.017565779481722089,-47.599173595993733,13.416161397176992
932.60334688321996,-0.004201938051592303,-49.122230441422516,81.872119504395698
1023.5310218990269,0.025082615809790956,-45.787652423178031,18.179275938574559
1123.3240329780276,0.012598420352089084,-47.592215126304978,-1.4302341133306484
1232.8467394420659,0.0022775792160839555,-48.462503536692445,42.177391752157064
1353.0477745798075,0.055122538269368984,-43.603980863911566,-10.778957020390749
1484.9682622544651,0.070130164328082112,-39.904376131467622,4.1356817204210898
1629.7508346206434,0.070696574587633204,-41.504077357726004,-3.8316215634298487
1788.6495290574351,0.044471084937644338,-48.409310553531952,-5.8638381089064886
1963.0406500402726,0.068703670791156898,-40.152746007947272,9.8550651205542792
2154.4346900318819,0.076480233386733543,-41.993050315035433,-3.7587047014810651
2364.4894126454069,0.094822713125327862,-42.187901072626019,-9.6389767421996524
2595.0242113997369,0.054519970428211301,-44.356291520387131,6.2476319372385305
2848.0358684358021,0.087476541790116533,-54.714269957153334,36.892228880892503
3125.7158496882353,0.1054174661874021,-46.259109767018799,6.1706832398000699
3430.4692863149189,0.093579504431249322,-47.979602801371819,-31.001846246739916
3764.9358067924677,0.11498891480801578,-43.960191847099551,4.109602642931236
4132.0124001153345,0.12404079152982433,-39.998445522818074,6.7782852223524799
4534.8785081285814,0.1121856730564834,-45.120285934018717,17.406503494590794
4977.0235643321139,0.11068490858532126,-45.296029553006846,57.380549030566826
5462.2772176843428,0.12645243062478115,-45.633342888210834,-38.561501776133497
5994.8425031894085,0.14114273319248699,-44.142968536016348,11.667407837428414
6579.3322465756819,0.18975990744507187,-51.803165315412855,12.744917095599348
7220.8090183854638,0.15986934768036021,-40.067096519920973,5.0232768829505403
7924.8289835391688,0.17032883667314189,-49.91820561180176,-71.131517382398584
8697.4900261778348,0.19095685201012591,-48.570230332390068,-127.59784843947011
9545.4845666183483,0.16631363840436092,-48.448738976829304,19.644251588068613
10476.157527896652,0.18672249824139153,-31.982339067869869,-14.146653603471094
11497.569953977356,0.14694655094423445,-38.151598593469117,-48.443528501259642
12618.568830660211,0.11488986179511869,-34.514537112392432,65.073367329301433
13848.863713938732,0.1677128407279749,-48.449060905000849,-25.892805742873829
15199.110829529331,0.15309001710061251,-43.841519614979433,-10.537688872065624
16681.005372000593,0.16085152108649844,-36.84514187268033,24.813116769149104
18307.382802953678,0.11143189748632973,-48.101787636302227,17.033889036337968
20092.330025650481,0.13680993983483009,-37.394217604871393,63.176524871178117
22051.307399030458,0.045440552322865382,-46.738695398979729,-97.433690925404079
24201.282647943812,0.10343996599184282,-41.15384490235914,13.681289756913912
26560.877829466866,0.15691579384614651,-45.731329645654043,15.95780313379251
29150.530628251756,0.08668814293146701,-40.467363005000834,-16.042792705437762
31992.671377973846,0.077985682281933949,-38.335988787564837,69.403473254382575
35111.917342151304,0.15284677575651506,-44.506317148123514,161.37637513557718
38535.285937105313,0.15280988725044828,-39.057314596615676,127.95552024429935
42292.42874389499,0.092705625670216729,-39.951003298866347,59.350792485967986
46415.888336127777,0.15284398788010872,-45.416034010087344,-82.04822560552077
50941.3801481638,0.067429981481617718,-47.246070101231432,-132.44921779410487
55908.101825122227,0.099852238152479594,-37.767604981512342,83.58137063810625
61359.072734131754,0.058028266061896525,-36.58942109555192,-1.6640566676652355
67341.506577508218,0.08240584552214035,-41.418767310328235,-56.751065179543339
