#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A96094
#Date Time: 2019-04-07 17:22:17.823
#Start: 100 Hz
#Stop: 1e+06 Hz
#Steps: 100
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16
#Channel: Channel 1
#Range: 60.4717 V
#Offset: 0.000250943 V
#Relative: no
#Channel: Channel 2
#Range: 61.15 V
#Offset: 0.00113789 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
100,0.01774198382332878,34.8349268949842,-0.079927266667468189
109.74987654930555,0.020459756864677037,34.831742956763115,-0.16862325961236024
120.45035402587824,0.010928669671060251,34.84167728272184,-0.1173715241141764
132.19411484660287,-0.023795831165849046,34.877348418453224,-0.18247216840023839
145.08287784959401,0.018798370825071811,34.832944632405159,-0.23940858768947582
159.22827933410923,0.010767015954559219,34.841991819503583,-0.22715222668488622
174.75284000076829,0.0068139550442944908,34.845510865655477,-0.23559801949217274
191.79102616724887,0.0031532605643395072,34.849290688681201,-0.2322989304616101
210.49041445120199,-0.018702493751587633,34.870453374590873,-0.4050123259205094
231.01297000831605,0.0099429401017388126,34.842286965509594,-0.37309189229127071
253.53644939701115,0.0084692128313108225,34.844195488194472,-0.36820753386541583
278.2559402207126,0.014269816231331691,34.839268435684872,-0.24370160995060886
305.38555088334158,0.0027585528886431977,34.849399259251534,-0.4448123376024995
335.16026509388411,-0.0051798561752543233,34.858440094668772,-0.21544946628432626
367.83797718286343,0.01666218727610819,34.837865324834205,-0.42063520787648656
403.70172585965537,0.01221974168194245,34.842915437696632,-0.43335410936458629
443.06214575838817,0.037518314975060897,34.816534379801482,-0.42877135747841066
486.26015800653533,0.030669445167832085,34.825981238765458,-0.46120687169758412
533.66992312063121,0.0081069173218703775,34.847066664389047,-0.71737625275493144
585.70208180566669,0.015324629794654496,34.839311996365247,-0.44996414095231785
642.80731172843196,-0.02529195293355338,34.879958837877993,-0.62611811214588897
705.48023107186452,-0.0050031668203686331,34.864209690872016,-0.78964338997627692
774.26368268112697,0.0088270792145740164,34.850528046303715,-0.70499451405018476
849.75343590864384,0.021758262460833708,34.838995673823675,-0.71872294846642149
932.60334688321996,0.019353744535680069,34.842874273008285,-0.94157789335688591
1023.5310218990269,0.014310707941278162,34.848538859904757,-0.81016889785731649
1123.3240329780276,0.039735730956129159,34.828150302183325,-1.0428430977465268
1232.8467394420659,0.013350066167111995,34.857068769641131,-0.81041844995998247
1353.0477745798075,0.015519201234814066,34.856458435645649,-1.0784002658050866
1484.9682622544651,-0.0060896871756814987,34.882554842602438,-1.3760157598249663
1629.7508346206434,0.043269471619584346,34.841401817022316,-1.2666688514503193
1788.6495290574351,0.050740394033169517,34.837983299719937,-1.5786490188932163
1963.0406500402726,0.019662315476413228,34.874667034290198,-1.5689761808246958
2154.4346900318819,0.044740661775881194,34.858597465235405,-1.587735646846653
2364.4894126454069,0.087328849819184651,34.825246328982431,-1.6512718528241308
2595.0242113997369,0.078320953108230382,34.846102951721207,-1.9251268818653813
2848.0358684358021,0.072919298952814363,34.861677248611052,-1.918898979033969
3125.7158496882353,0.10842197884461538,34.836202748071273,-2.0105828159675454
3430.4692863149189,0.12808567051977629,34.830013575654917,-2.0288695164124135
3764.9358067924677,0.069808076711432146,34.904832320413647,-2.4438579616752918
4132.0124001153345,0.10552359000638362,34.8768016463994,-2.544812048265598
4534.8785081285814,0.14661631542516274,34.853024204642928,-2.7862964486107842
4977.0235643321139,0.16887100053505552,34.839140024039693,-3.0945969774626825
5462.2772176843428,0.1390184090915208,34.883402209825974,-3.389294625020824
5994.8425031894085,0.17329070257153747,34.862493882363367,-3.4667258667238769
6579.3322465756819,0.18899412281332373,34.858672170335602,-4.0859259661813638
7220.8090183854638,0.16327759226127497,34.880767601671167,-4.1952069124577775
7924.8289835391688,0.20896103301549909,34.847886836319695,-3.9638230096561529
8697.4900261778348,0.21370418976805855,34.842854682312669,-4.8034927480309904
9545.4845666183483,0.20468051581276378,34.845257966134731,-5.137579066679109
10476.157527896652,0.20019928721422039,34.856363107872113,-5.5182376465896255
11497.569953977356,0.21758793207584509,34.836944069006805,-5.8074654154534926
12618.568830660211,0.17695969378837889,34.8607461610125,-6.5494819494022636
13848.863713938732,0.16789479993869788,34.878820770685991,-6.6964638018166056
15199.110829529331,0.19767310961766063,34.834021964826945,-7.6891215406018887
16681.005372000593,0.10016876905603747,34.923443462904018,-8.1488515618574944
18307.382802953678,0.17399883645755415,34.830469057393636,-8.5682431850772787
20092.330025650481,0.17185641884816721,34.83149947803453,-9.3275316548808149
22051.307399030458,0.19526292379831015,34.810542575330537,-10.499450407164488
24201.282647943812,0.13686350615970219,34.865999644702775,-10.556438226680797
26560.877829466866,0.078901004696702984,34.905140138955609,-12.117253297800318
29150.530628251756,0.12403913021737484,34.86105901205817,-12.569884072044687
31992.671377973846,0.17955755141738858,34.802602514830156,-13.97678501016334
35111.917342151304,0.10506368618237821,34.869251503597312,-14.632118984929633
38535.285937105313,0.07440658844792751,34.891336732678234,-15.44119202275607
42292.42874389499,0.11210013857760859,34.849909993634689,-16.807090736046064
46415.888336127777,0.083500784621481083,34.868613043759012,-18.010144208372637
50941.3801481638,0.059069857731385976,34.885154812277072,-19.290929718327718
55908.101825122227,0.059285038302561127,34.887906402855556,-21.316410996887242
61359.072734131754,-0.030390586271467537,34.969767586737895,-23.14378520267698
67341.506577508218,0.060625900802634754,34.869306376683987,-24.085270197846523
