
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
1.4190575216890969E+002, 1.4190575216890969E+002, 0.0000000000000000E+000, 2.7467256253302764E+001, 0.0000000000000000E+000
1.4321878992735483E+002, 1.4321878992735483E+002, 0.0000000000000000E+000, 2.7467256249925782E+001, 0.0000000000000000E+000
1.4454397707459327E+002, 1.4454397707459327E+002, 0.0000000000000000E+000, 2.7467256246484229E+001, 0.0000000000000000E+000
1.4588142602753538E+002, 1.4588142602753538E+002, 0.0000000000000000E+000, 2.7467256242979758E+001, 0.0000000000000000E+000
1.4723125024327246E+002, 1.4723125024327246E+002, 0.0000000000000000E+000, 2.7467256239410169E+001, 0.0000000000000000E+000
1.4859356422870130E+002, 1.4859356422870130E+002, 0.0000000000000000E+000, 2.7467256235774190E+001, 0.0000000000000000E+000
1.4996848355023798E+002, 1.4996848355023798E+002, 0.0000000000000000E+000, 2.7467256232070518E+001, 0.0000000000000000E+000
1.5135612484362147E+002, 1.5135612484362147E+002, 0.0000000000000000E+000, 2.7467256228297799E+001, 0.0000000000000000E+000
1.5275660582380794E+002, 1.5275660582380794E+002, 0.0000000000000000E+000, 2.7467256224455152E+001, 0.0000000000000000E+000
1.5417004529495665E+002, 1.5417004529495665E+002, 0.0000000000000000E+000, 2.7467256220541159E+001, 0.0000000000000000E+000
1.5559656316050817E+002, 1.5559656316050817E+002, 0.0000000000000000E+000, 2.7467256216554365E+001, 0.0000000000000000E+000
1.5703628043335598E+002, 1.5703628043335598E+002, 0.0000000000000000E+000, 2.7467256212492856E+001, 0.0000000000000000E+000
1.5848931924611210E+002, 1.5848931924611210E+002, 0.0000000000000000E+000, 2.7467256208356979E+001, 0.0000000000000000E+000
1.5995580286146765E+002, 1.5995580286146765E+002, 0.0000000000000000E+000, 2.7467256204143290E+001, 0.0000000000000000E+000
1.6143585568264942E+002, 1.6143585568264942E+002, 0.0000000000000000E+000, 2.7467256199852102E+001, 0.0000000000000000E+000
1.6292960326397306E+002, 1.6292960326397306E+002, 0.0000000000000000E+000, 2.7467256195480367E+001, 0.0000000000000000E+000
1.6443717232149402E+002, 1.6443717232149402E+002, 0.0000000000000000E+000, 2.7467256191027346E+001, 0.0000000000000000E+000
1.6595869074375693E+002, 1.6595869074375693E+002, 0.0000000000000000E+000, 2.7467256186491351E+001, 0.0000000000000000E+000
1.6749428760264462E+002, 1.6749428760264462E+002, 0.0000000000000000E+000, 2.7467256181872081E+001, 0.0000000000000000E+000
1.6904409316432731E+002, 1.6904409316432731E+002, 0.0000000000000000E+000, 2.7467256177165812E+001, 0.0000000000000000E+000
1.7060823890031327E+002, 1.7060823890031327E+002, 0.0000000000000000E+000, 2.7467256172372618E+001, 0.0000000000000000E+000
1.7218685749860165E+002, 1.7218685749860165E+002, 0.0000000000000000E+000, 2.7467256167489687E+001, 0.0000000000000000E+000
1.7378008287493853E+002, 1.7378008287493853E+002, 0.0000000000000000E+000, 2.7467256162516524E+001, 0.0000000000000000E+000
1.7538805018417713E+002, 1.7538805018417713E+002, 0.0000000000000000E+000, 2.7467256157450677E+001, 0.0000000000000000E+000
1.7701089583174314E+002, 1.7701089583174314E+002, 0.0000000000000000E+000, 2.7467256152291135E+001, 0.0000000000000000E+000
1.7864875748520612E+002, 1.7864875748520612E+002, 0.0000000000000000E+000, 2.7467256147035801E+001, 0.0000000000000000E+000
1.8030177408595796E+002, 1.8030177408595796E+002, 0.0000000000000000E+000, 2.7467256141682078E+001, 0.0000000000000000E+000
1.8197008586099943E+002, 1.8197008586099943E+002, 0.0000000000000000E+000, 2.7467256136229285E+001, 0.0000000000000000E+000
1.8365383433483575E+002, 1.8365383433483575E+002, 0.0000000000000000E+000, 2.7467256130674759E+001, 0.0000000000000000E+000
1.8535316234148229E+002, 1.8535316234148229E+002, 0.0000000000000000E+000, 2.7467256125017634E+001, 0.0000000000000000E+000
1.8706821403658122E+002, 1.8706821403658122E+002, 0.0000000000000000E+000, 2.7467256119255183E+001, 0.0000000000000000E+000
1.8879913490963054E+002, 1.8879913490963054E+002, 0.0000000000000000E+000, 2.7467256113385012E+001, 0.0000000000000000E+000
1.9054607179632595E+002, 1.9054607179632595E+002, 0.0000000000000000E+000, 2.7467256107405689E+001, 0.0000000000000000E+000
1.9230917289101708E+002, 1.9230917289101708E+002, 0.0000000000000000E+000, 2.7467256101315748E+001, 0.0000000000000000E+000
1.9408858775927908E+002, 1.9408858775927908E+002, 0.0000000000000000E+000, 2.7467256095112134E+001, 0.0000000000000000E+000
1.9588446735060026E+002, 1.9588446735060026E+002, 0.0000000000000000E+000, 2.7467256088793288E+001, 0.0000000000000000E+000
1.9769696401118739E+002, 1.9769696401118739E+002, 0.0000000000000000E+000, 2.7467256082356556E+001, 0.0000000000000000E+000
1.9952623149688930E+002, 1.9952623149688930E+002, 0.0000000000000000E+000, 2.7467256075800691E+001, 0.0000000000000000E+000
2.0137242498624019E+002, 2.0137242498624019E+002, 0.0000000000000000E+000, 2.7467256069123440E+001, 0.0000000000000000E+000
2.0323570109362356E+002, 2.0323570109362356E+002, 0.0000000000000000E+000, 2.7467256062321074E+001, 0.0000000000000000E+000
2.0511621788255798E+002, 2.0511621788255798E+002, 0.0000000000000000E+000, 2.7467256055393065E+001, 0.0000000000000000E+000
