
Label=dB(v(Out4)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out4)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out4)/(V(Vid1)-V(Vid2))),dB(v(Out4)/(V(Vid1)-V(Vid2)))
1.5776112696993528E+002, 1.5776112696993528E+002, 0.0000000000000000E+000, 4.7132653509894993E+001, 0.0000000000000000E+000
1.5995580286146730E+002, 1.5995580286146730E+002, 0.0000000000000000E+000, 4.7132585475790364E+001, 0.0000000000000000E+000
1.6218100973589344E+002, 1.6218100973589344E+002, 0.0000000000000000E+000, 4.7132515536733443E+001, 0.0000000000000000E+000
1.6443717232149362E+002, 1.6443717232149362E+002, 0.0000000000000000E+000, 4.7132443639413182E+001, 0.0000000000000000E+000
1.6672472125510674E+002, 1.6672472125510674E+002, 0.0000000000000000E+000, 4.7132369729040278E+001, 0.0000000000000000E+000
1.6904409316432691E+002, 1.6904409316432691E+002, 0.0000000000000000E+000, 4.7132293749284628E+001, 0.0000000000000000E+000
1.7139573075084306E+002, 1.7139573075084306E+002, 0.0000000000000000E+000, 4.7132215642240347E+001, 0.0000000000000000E+000
1.7378008287493810E+002, 1.7378008287493810E+002, 0.0000000000000000E+000, 4.7132135348390619E+001, 0.0000000000000000E+000
1.7619760464116351E+002, 1.7619760464116351E+002, 0.0000000000000000E+000, 4.7132052806552061E+001, 0.0000000000000000E+000
1.7864875748520569E+002, 1.7864875748520569E+002, 0.0000000000000000E+000, 4.7131967953830262E+001, 0.0000000000000000E+000
1.8113400926196090E+002, 1.8113400926196090E+002, 0.0000000000000000E+000, 4.7131880725577624E+001, 0.0000000000000000E+000
1.8365383433483532E+002, 1.8365383433483532E+002, 0.0000000000000000E+000, 4.7131791055338830E+001, 0.0000000000000000E+000
1.8620871366628745E+002, 1.8620871366628745E+002, 0.0000000000000000E+000, 4.7131698874801835E+001, 0.0000000000000000E+000
1.8879913490963008E+002, 1.8879913490963008E+002, 0.0000000000000000E+000, 4.7131604113747642E+001, 0.0000000000000000E+000
1.9142559250210934E+002, 1.9142559250210934E+002, 0.0000000000000000E+000, 4.7131506699992997E+001, 0.0000000000000000E+000
1.9408858775927860E+002, 1.9408858775927860E+002, 0.0000000000000000E+000, 4.7131406559341244E+001, 0.0000000000000000E+000
1.9678862897068529E+002, 1.9678862897068529E+002, 0.0000000000000000E+000, 4.7131303615529411E+001, 0.0000000000000000E+000
1.9952623149688881E+002, 1.9952623149688881E+002, 0.0000000000000000E+000, 4.7131197790152981E+001, 0.0000000000000000E+000
2.0230191786782805E+002, 2.0230191786782805E+002, 0.0000000000000000E+000, 4.7131089002628570E+001, 0.0000000000000000E+000
2.0511621788255746E+002, 2.0511621788255746E+002, 0.0000000000000000E+000, 4.7130977170124225E+001, 0.0000000000000000E+000
2.0796966871037051E+002, 2.0796966871037051E+002, 0.0000000000000000E+000, 4.7130862207485052E+001, 0.0000000000000000E+000
2.1086281499332992E+002, 2.1086281499332992E+002, 0.0000000000000000E+000, 4.7130744027190971E+001, 0.0000000000000000E+000
2.1379620895022421E+002, 2.1379620895022421E+002, 0.0000000000000000E+000, 4.7130622539276096E+001, 0.0000000000000000E+000
