
Label=dB(v(Vout)/v(Vin)) vs F
LabelX=F
LabelY=dB(v(Vout)/v(Vin))
Data Point Count=1001
F,F,F,dB(v(Vout)/v(Vin)),dB(v(Vout)/v(Vin))
1.1641260294104920E+003, 1.1641260294104920E+003, 0.0000000000000000E+000,-4.7946427826589684E+000, 0.0000000000000000E+000
1.1721953655481311E+003, 1.1721953655481311E+003, 0.0000000000000000E+000,-4.6738413573034734E+000, 0.0000000000000000E+000
1.1803206356517303E+003, 1.1803206356517303E+003, 0.0000000000000000E+000,-4.5530287459342587E+000, 0.0000000000000000E+000
1.1885022274370192E+003, 1.1885022274370192E+003, 0.0000000000000000E+000,-4.4322047918962060E+000, 0.0000000000000000E+000
1.1967405313072443E+003, 1.1967405313072443E+003, 0.0000000000000000E+000,-4.3113693363255354E+000, 0.0000000000000000E+000
1.2050359403717982E+003, 1.2050359403717982E+003, 0.0000000000000000E+000,-4.1905222181183115E+000, 0.0000000000000000E+000
1.2133888504649781E+003, 1.2133888504649781E+003, 0.0000000000000000E+000,-4.0696632738983620E+000, 0.0000000000000000E+000
1.2217996601648726E+003, 1.2217996601648726E+003, 0.0000000000000000E+000,-3.9487923379848540E+000, 0.0000000000000000E+000
1.2302687708123824E+003, 1.2302687708123824E+003, 0.0000000000000000E+000,-3.8279092423592931E+000, 0.0000000000000000E+000
1.2387965865303700E+003, 1.2387965865303700E+003, 0.0000000000000000E+000,-3.7070138166320903E+000, 0.0000000000000000E+000
1.2473835142429439E+003, 1.2473835142429439E+003, 0.0000000000000000E+000,-3.5861058880086150E+000, 0.0000000000000000E+000
1.2560299636948757E+003, 1.2560299636948757E+003, 0.0000000000000000E+000,-3.4651852812547834E+000, 0.0000000000000000E+000
1.2647363474711522E+003, 1.2647363474711522E+003, 0.0000000000000000E+000,-3.3442518186620602E+000, 0.0000000000000000E+000
1.2735030810166625E+003, 1.2735030810166625E+003, 0.0000000000000000E+000,-3.2233053200120825E+000, 0.0000000000000000E+000
1.2823305826560222E+003, 1.2823305826560222E+003, 0.0000000000000000E+000,-3.1023456025406011E+000, 0.0000000000000000E+000
1.2912192736135348E+003, 1.2912192736135348E+003, 0.0000000000000000E+000,-2.9813724809010029E+000, 0.0000000000000000E+000
1.3001695780332909E+003, 1.3001695780332909E+003, 0.0000000000000000E+000,-2.8603857671272697E+000, 0.0000000000000000E+000
1.3091819229994076E+003, 1.3091819229994076E+003, 0.0000000000000000E+000,-2.7393852705963635E+000, 0.0000000000000000E+000
1.3182567385564078E+003, 1.3182567385564078E+003, 0.0000000000000000E+000,-2.6183707979900590E+000, 0.0000000000000000E+000
1.3273944577297402E+003, 1.3273944577297402E+003, 0.0000000000000000E+000,-2.4973421532562647E+000, 0.0000000000000000E+000
1.3365955165464429E+003, 1.3365955165464429E+003, 0.0000000000000000E+000,-2.3762991375697071E+000, 0.0000000000000000E+000
1.3458603540559491E+003, 1.3458603540559491E+003, 0.0000000000000000E+000,-2.2552415492920401E+000, 0.0000000000000000E+000
1.3551894123510369E+003, 1.3551894123510369E+003, 0.0000000000000000E+000,-2.1341691839313954E+000, 0.0000000000000000E+000
1.3645831365889255E+003, 1.3645831365889255E+003, 0.0000000000000000E+000,-2.0130818341013321E+000, 0.0000000000000000E+000
1.3740419750125163E+003, 1.3740419750125163E+003, 0.0000000000000000E+000,-1.8919792894791350E+000, 0.0000000000000000E+000
1.3835663789717821E+003, 1.3835663789717821E+003, 0.0000000000000000E+000,-1.7708613367635209E+000, 0.0000000000000000E+000
1.3931568029453044E+003, 1.3931568029453044E+003, 0.0000000000000000E+000,-1.6497277596317255E+000, 0.0000000000000000E+000
1.4028137045619594E+003, 1.4028137045619594E+003, 0.0000000000000000E+000,-1.5285783386959075E+000, 0.0000000000000000E+000
1.4125375446227556E+003, 1.4125375446227556E+003, 0.0000000000000000E+000,-1.4074128514589743E+000, 0.0000000000000000E+000
1.4223287871228210E+003, 1.4223287871228210E+003, 0.0000000000000000E+000,-1.2862310722696599E+000, 0.0000000000000000E+000
1.4321878992735446E+003, 1.4321878992735446E+003, 0.0000000000000000E+000,-1.1650327722770311E+000, 0.0000000000000000E+000
1.4421153515248700E+003, 1.4421153515248700E+003, 0.0000000000000000E+000,-1.0438177193842109E+000, 0.0000000000000000E+000
1.4521116175877435E+003, 1.4521116175877435E+003, 0.0000000000000000E+000,-9.2258567820149540E-001, 0.0000000000000000E+000
1.4621771744567195E+003, 1.4621771744567195E+003, 0.0000000000000000E+000,-8.0133640999869638E-001, 0.0000000000000000E+000
1.4723125024327203E+003, 1.4723125024327203E+003, 0.0000000000000000E+000,-6.8006967265681695E-001, 0.0000000000000000E+000
1.4825180851459550E+003, 1.4825180851459550E+003, 0.0000000000000000E+000,-5.5878522061903069E-001, 0.0000000000000000E+000
1.4927944095789976E+003, 1.4927944095789976E+003, 0.0000000000000000E+000,-4.3748280484082325E-001, 0.0000000000000000E+000
1.5031419660900237E+003, 1.5031419660900237E+003, 0.0000000000000000E+000,-3.1616217273945890E-001, 0.0000000000000000E+000
1.5135612484362096E+003, 1.5135612484362096E+003, 0.0000000000000000E+000,-1.9482306814270939E-001, 0.0000000000000000E+000
1.5240527537972928E+003, 1.5240527537972928E+003, 0.0000000000000000E+000,-7.3465231236712780E-002, 0.0000000000000000E+000
1.5346169827992958E+003, 1.5346169827992958E+003, 0.0000000000000000E+000, 4.7911601486850502E-002, 0.0000000000000000E+000
1.5452544395384155E+003, 1.5452544395384155E+003, 0.0000000000000000E+000, 1.6930769728446421E-001, 0.0000000000000000E+000
1.5559656316050759E+003, 1.5559656316050759E+003, 0.0000000000000000E+000, 2.9072332721520161E-001, 0.0000000000000000E+000
1.5667510701081508E+003, 1.5667510701081508E+003, 0.0000000000000000E+000, 4.1215876619606684E-001, 0.0000000000000000E+000
1.5776112696993503E+003, 1.5776112696993503E+003, 0.0000000000000000E+000, 5.3361429305814467E-001, 0.0000000000000000E+000
1.5885467485977806E+003, 1.5885467485977806E+003, 0.0000000000000000E+000, 6.5509019060356644E-001, 0.0000000000000000E+000
1.5995580286146705E+003, 1.5995580286146705E+003, 0.0000000000000000E+000, 7.7658674566337837E-001, 0.0000000000000000E+000
1.6106456351782722E+003, 1.6106456351782722E+003, 0.0000000000000000E+000, 8.9810424915630171E-001, 0.0000000000000000E+000
1.6218100973589317E+003, 1.6218100973589317E+003, 0.0000000000000000E+000, 1.0196429961482987E+000, 0.0000000000000000E+000
1.6330519478943361E+003, 1.6330519478943361E+003, 0.0000000000000000E+000, 1.1412032859132104E+000, 0.0000000000000000E+000
1.6443717232149334E+003, 1.6443717232149334E+003, 0.0000000000000000E+000, 1.2627854219941308E+000, 0.0000000000000000E+000
1.6557699634695298E+003, 1.6557699634695298E+003, 0.0000000000000000E+000, 1.3843897122658613E+000, 0.0000000000000000E+000
