
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=273
T,v(Vout)
 2.6223888999999937E-006, 6.5476251162628500E+000
 2.6319768406669087E-006, 8.1035863887622277E+000
 2.6389948655646292E-006, 9.0604587415263556E+000
 2.6457062941633919E-006, 9.8532418751445316E+000
 2.6488786392592258E-006, 1.0190270998584140E+001
 2.6537611901665270E-006, 1.0667041858233903E+001
 2.6635262919811299E-006, 1.1486536932227388E+001
 2.6830564956103356E-006, 1.2702726972355508E+001
 2.7163786493965257E-006, 1.3913592486054510E+001
 2.7519495299647433E-006, 1.4514797497643725E+001
 2.7971977734333556E-006, 1.4832582283545220E+001
 2.8495950457146547E-006, 1.4953334408864569E+001
 2.9270707148586951E-006, 1.4995778807457214E+001
 3.0270707148586950E-006, 1.5000154791993042E+001
 3.1000000000000000E-006, 1.5000017793039627E+001
 3.1001000000000002E-006, 1.5000017912082471E+001
 3.1003000000000002E-006, 1.4999196762117338E+001
 3.1004484924240524E-006, 1.4995219936213291E+001
 3.1006435714955174E-006, 1.4977196242325606E+001
 3.1010000000000000E-006, 1.4873397533368381E+001
 3.1010390158142932E-006, 1.4856128925900562E+001
 3.1011170474428792E-006, 1.4821627158558359E+001
 3.1012731107000511E-006, 1.4752833408958258E+001
 3.1015852372143953E-006, 1.4616080754796455E+001
 3.1022094902430832E-006, 1.4345880816821330E+001
 3.1034579963004596E-006, 1.3818435673526878E+001
 3.1059550084152124E-006, 1.2813309391969128E+001
 3.1109490326447176E-006, 1.0986851984683515E+001
 3.1209370811037283E-006, 7.9629926672897042E+000
 3.1409131780217497E-006, 3.7938368558722422E+000
 3.1542635017406283E-006, 2.3919479836122695E+000
 3.1653509969629053E-006, 2.0025630634102796E+000
 3.1784977315759431E-006, 1.8990825945012830E+000
 3.1951440254208429E-006, 1.8846754726768400E+000
 3.2161337559266152E-006, 1.8847412072088396E+000
 3.2581132169381604E-006, 1.8847311868576277E+000
 3.3293070759747020E-006, 1.8847360156735036E+000
 3.4129156080651748E-006, 1.8847328723311001E+000
 3.5129156080651747E-006, 1.8847350324221175E+000
 3.6009999999999999E-006, 1.8847335128010982E+000
 3.6011000000000001E-006, 1.8888009722463790E+000
 3.6013000000000001E-006, 1.9054558247374007E+000
 3.6017000000000002E-006, 1.9822778833464376E+000
 3.6020000000000000E-006, 2.0604504925175862E+000
 3.6020531999999998E-006, 2.0744500737694276E+000
 3.6021595999999996E-006, 2.1024286519757105E+000
 3.6023723999999994E-006, 2.1582423031824494E+000
 3.6027979999999991E-006, 2.2692919910065701E+000
 3.6036491999999982E-006, 2.4890569436689920E+000
 3.6053515999999962E-006, 2.9191203191068222E+000
 3.6087563999999923E-006, 3.7410616683065667E+000
