
Label=v(Vout3) vs T
LabelX=T
LabelY=v(Vout3)
Data Point Count=1035
T,v(Vout3)
 0.0000000000000000E+000, 2.3502466959944570E+000
 2.0000000000000003E-006, 2.3502466959967481E+000
 4.0000000000000007E-006, 2.3502466959960691E+000
 8.0000000000000013E-006, 2.3502466959951263E+000
 1.6000000000000003E-005, 2.3502466959945387E+000
 3.2000000000000005E-005, 2.3502466959943566E+000
 5.2000000000000004E-005, 2.3502466959945405E+000
 7.2000000000000002E-005, 2.3502466959944837E+000
 9.2000000000000000E-005, 2.3502466959942101E+000
 1.1200000000000000E-004, 2.3502466959948727E+000
 1.3200000000000001E-004, 2.3502466959941355E+000
 1.5200000000000001E-004, 2.3502466959941462E+000
 1.7200000000000001E-004, 2.3502466959957520E+000
 1.9200000000000000E-004, 2.3502466959924719E+000
 2.1154684207508459E-004, 2.3502466959954855E+000
 2.3044208433899323E-004, 2.3502466959969288E+000
 2.4871005769016696E-004, 2.3502466959871011E+000
 2.6629057135594885E-004, 2.3502466960023964E+000
 2.8319906213369509E-004, 2.3502466959979076E+000
 2.9944855196193076E-004, 2.3502466959682708E+000
 3.1505390513430397E-004, 2.3502466960294282E+000
 3.3004173501472556E-004, 2.3502466960073880E+000
 3.4443136637936952E-004, 2.3502466958823498E+000
 3.5827273773061724E-004, 2.3502466961134965E+000
 3.5869409809817211E-004, 2.3502466961304069E+000
 3.5953681883328187E-004, 2.3502466961647981E+000
 3.6088732756684306E-004, 2.3502466962205832E+000
 3.6221391191558510E-004, 2.3502466962724355E+000
 3.6486708061306912E-004, 2.3502466963411539E+000
 3.6553037278744011E-004, 2.3502466963446653E+000
 3.6685695713618215E-004, 2.3502466963373423E+000
 3.6718860322336764E-004, 2.3502466963298003E+000
 3.6785189539773863E-004, 2.3502466963102608E+000
 3.6801771844133138E-004, 2.3502466963036666E+000
 3.6834936452851688E-004, 2.3502466962892639E+000
 3.6901265670288787E-004, 2.3502466962529063E+000
 3.6913354189087072E-004, 2.3502466962449908E+000
 3.6916376318786641E-004, 2.3502466962429902E+000
 3.6922420578185784E-004, 2.3502466962389441E+000
 3.6923931643035571E-004, 2.3502466962379156E+000
 3.6926953772735139E-004, 2.3502466962358479E+000
 3.6932998032134282E-004, 2.3502466962316451E+000
 3.6934509096984069E-004, 2.3502466962305770E+000
 3.6937531226683638E-004, 2.3502466962284299E+000
 3.6938055181511226E-004, 2.3502466962280550E+000
 3.6939103091166402E-004, 2.3502466962273032E+000
 3.6940151044090433E-004, 2.3502466962265491E+000
 3.6941112315932257E-004, 2.3502466962258559E+000
 3.6941929273021394E-004, 2.3502466962252648E+000
 3.6942597822552353E-004, 2.3502466962247799E+000
 3.6943196688965133E-004, 2.3502466962243442E+000
 3.6943821729253535E-004, 2.3502466962238890E+000
 3.6944652826698858E-004, 2.3502466962232820E+000
 3.6945613400228615E-004, 2.3502466962225776E+000
 3.6947193429683474E-004, 2.3502466962214137E+000
 3.6949297777726803E-004, 2.3502466962198545E+000
 3.6952051318996066E-004, 2.3502466962177984E+000
 3.6956289535500410E-004, 2.3502466962145969E+000
 3.6964765968509097E-004, 2.3502466962080564E+000
 3.6981718834526472E-004, 2.3502466961944273E+000
 3.7015624566561221E-004, 2.3502466961649535E+000
 3.7083436030630720E-004, 2.3502466960969657E+000
 3.7219058958769724E-004, 2.3502466959243424E+000
 3.7490304815047731E-004, 2.3502466954481651E+000
 3.8032796527603740E-004, 2.3502466944552811E+000
 3.9117779952715763E-004, 2.3502466963383348E+000
 3.9233817873450804E-004, 2.3502466970294766E+000
 3.9262827353634566E-004, 2.3502466972083607E+000
 3.9320846314002089E-004, 2.3502466975776461E+000
 3.9335351054093970E-004, 2.3502466976741521E+000
 3.9364360534277731E-004, 2.3502466978696654E+000
 3.9371612904323672E-004, 2.3502466979194607E+000
 3.9373425996835156E-004, 2.3502466979319276E+000
 3.9377052181858123E-004, 2.3502466979568974E+000
 3.9384304551904063E-004, 2.3502466980070511E+000
 3.9386117644415547E-004, 2.3502466980196428E+000
 3.9389743829438515E-004, 2.3502466980448604E+000
 3.9390650375694259E-004, 2.3502466980511776E+000
 3.9392463468205743E-004, 2.3502466980638208E+000
 3.9392916741333613E-004, 2.3502466980669841E+000
 3.9393823287589357E-004, 2.3502466980733137E+000
 3.9395636380100841E-004, 2.3502466980859857E+000
 3.9397486600837098E-004, 2.3502466980989354E+000
 3.9398716277460520E-004, 2.3502466981075520E+000
 3.9399581076813732E-004, 2.3502466981136161E+000
 3.9400261250260513E-004, 2.3502466981183874E+000
 3.9400494931824157E-004, 2.3502466981200274E+000
 3.9400790843994857E-004, 2.3502466981221062E+000
 3.9401102956807498E-004, 2.3502466981242991E+000
 3.9401447486372282E-004, 2.3502466981267189E+000
 3.9401829623031236E-004, 2.3502466981294030E+000
 3.9402181941093574E-004, 2.3502466981318784E+000
 3.9402553963200710E-004, 2.3502466981344927E+000
