
Label=v(Vout1) vs T
LabelX=T
LabelY=v(Vout1)
Data Point Count=478
T,v(Vout1)
 0.0000000000000000E+000, 3.0094770483067919E+000
 1.0000000000000000E-008, 3.0094770410423157E+000
 2.0000000000000000E-008, 3.0094770435930931E+000
 4.0000000000000001E-008, 3.0094770469048306E+000
 8.0000000000000002E-008, 3.0094770483669184E+000
 9.9999999999999995E-008, 3.0094770483254552E+000
 1.0010000000000000E-007, 3.0094770483253397E+000
 1.0030000000000000E-007, 3.0094770483251092E+000
 1.0043281706034945E-007, 3.0094770483249569E+000
 1.0056432950260131E-007, 3.0094770483248068E+000
 1.0082735438710502E-007, 3.0094770483245088E+000
 1.0100000000000000E-007, 3.0094770483243143E+000
 1.0105260497690074E-007, 3.0094770483242557E+000
 1.0115781493070224E-007, 3.0094770483241380E+000
 1.0136823483830521E-007, 3.0094770483239039E+000
 1.0178907465351116E-007, 3.0094770483234394E+000
 1.0263075428392306E-007, 3.0094770483225228E+000
 1.0431411354474685E-007, 3.0094770483207394E+000
 1.0768083206639445E-007, 3.0094770483173492E+000
 1.1441426910968965E-007, 3.0094770483110818E+000
 1.2788114319628003E-007, 3.0094770483002478E+000
 1.4206214131899851E-007, 3.0094770482927116E+000
 1.5898570152101549E-007, 3.0094770482950741E+000
 1.7305403446466216E-007, 3.0094770483115507E+000
 1.8854398990654483E-007, 3.0094770483451661E+000
 2.0481835234766990E-007, 3.0094770483829834E+000
 2.3579473468331634E-007, 3.0094770483386810E+000
 2.9774749935460924E-007, 3.0094770481149200E+000
 3.7132469573509215E-007, 3.0094770485648281E+000
 4.7132469573509214E-007, 3.0094770481668065E+000
 5.7132469573509208E-007, 3.0094770481200319E+000
 6.0100000000000005E-007, 3.0094770491523044E+000
 6.0110000000000006E-007, 3.0094770491571032E+000
 6.0130000000000007E-007, 3.0094770491667031E+000
 6.0170000000000010E-007, 3.0094770491859109E+000
 6.0193065378313376E-007, 3.0094770491969909E+000
 6.0200000000000002E-007, 3.0094770492003216E+000
 6.0201145367072024E-007, 3.0094770492008722E+000
