
Label=v(Vout6) vs T
LabelX=T
LabelY=v(Vout6)
Data Point Count=1035
T,v(Vout6)
 3.9384304551904063E-004, 4.5799283637186301E+000
 3.9386117644415547E-004, 4.5806674570338020E+000
 3.9389743829438515E-004, 4.5825936904674487E+000
 3.9390650375694259E-004, 4.5833099952294525E+000
 3.9392463468205743E-004, 4.5851656495298974E+000
 3.9392916741333613E-004, 4.5858302629347838E+000
 3.9393823287589357E-004, 4.5874195839767822E+000
 3.9395636380100841E-004, 4.5942485130223361E+000
 3.9397486600837098E-004, 4.5617936483614931E+000
 3.9398716277460520E-004, 4.1317917209693160E+000
 3.9399581076813732E-004, 3.2976358128674885E+000
 3.9400261250260513E-004, 2.4301437829755419E+000
 3.9400494931824157E-004, 2.1456903063213422E+000
 3.9400790843994857E-004, 1.8328810528134780E+000
 3.9401102956807498E-004, 1.5656884567239067E+000
 3.9401447486372282E-004, 1.3410578989633257E+000
 3.9401829623031236E-004, 1.1634740215258925E+000
 3.9402181941093574E-004, 1.0509111849087485E+000
 3.9402553963200710E-004, 9.6988218644088409E-001
 3.9403053190819823E-004, 9.0153408816492286E-001
 3.9403701292520054E-004, 8.5426755515601227E-001
 3.9404601387418224E-004, 8.2664166275172546E-001
 3.9405876386440318E-004, 8.1568431688892451E-001
 3.9408058151887200E-004, 8.1324996882211731E-001
 3.9412194710556004E-004, 8.1212766155491067E-001
 3.9420054863282113E-004, 8.0869234490948827E-001
 3.9435775168734330E-004, 8.0254960296362921E-001
 3.9467215779638766E-004, 7.8997898809521350E-001
 3.9530097001447631E-004, 7.6601669339162626E-001
 3.9655859445065361E-004, 7.2058131981205120E-001
 3.9907384332300822E-004, 6.4007872161524804E-001
 4.0410434106771749E-004, 5.1008366573453179E-001
 4.1219822870005798E-004, 3.6131638016258472E-001
 4.1289193093766357E-004, 3.5118746104727822E-001
 4.1427933541287476E-004, 3.3166756047998852E-001
 4.1705414436329718E-004, 2.9578832015291062E-001
 4.1769774509366517E-004, 2.8803596945330556E-001
 4.1898494655440112E-004, 2.7237277011280236E-001
 4.1922320773950039E-004, 2.6926018188758238E-001
 4.1928277303577519E-004, 2.6844661262445624E-001
 4.1940190362832485E-004, 2.6658162982140643E-001
 4.1943168627646226E-004, 2.6597219081777712E-001
 4.1949125157273706E-004, 2.6426806313229756E-001
 4.1950614289680576E-004, 2.6353398239519399E-001
 4.1953592554494316E-004, 2.6099999816025055E-001
 4.1954337120697751E-004, 2.5972637274188259E-001
 4.1955826253104622E-004, 2.5563520529347761E-001
 4.1956198536206342E-004, 2.5380938255258478E-001
 4.1956943102409777E-004, 2.4881313533593383E-001
 4.1957932620904627E-004, 2.4153870845093003E-001
 4.1958922238494818E-004, 3.2515071516596294E-001
 4.1959576396240726E-004, 5.8779606527739203E-001
