
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=286
T,v(Vout)
 2.6017511035827811E-006, 5.6529407428776168E-001
 2.6019876829444060E-006, 5.8509992534460276E-001
 2.6019999999999998E-006, 5.8616206807645199E-001
 2.6020097580146599E-006, 5.8700333383969860E-001
 2.6020292740439796E-006, 5.8868564544953850E-001
 2.6020683061026194E-006, 5.9204874690684295E-001
 2.6021463702198985E-006, 5.9876885841160432E-001
 2.6023024984544569E-006, 6.1218468191409914E-001
 2.6026147549235740E-006, 6.3891847574894212E-001
 2.6032392678618083E-006, 6.9199280334404700E-001
 2.6044882937382769E-006, 7.9655699346674347E-001
 2.6069863454912136E-006, 9.9930434164613702E-001
 2.6107581163165398E-006, 1.2894128619819771E+000
 2.6146863438310895E-006, 1.5712756274202961E+000
 2.6225427988601890E-006, 2.0770027184135147E+000
 2.6382557089183879E-006, 2.8873617523786299E+000
 2.6559906620145447E-006, 3.5416180384055003E+000
 2.6742569155407387E-006, 4.0061926868427564E+000
 2.6887747265091481E-006, 4.2670640605269128E+000
 2.7031622316090875E-006, 4.4583059996023078E+000
 2.7178890826488953E-006, 4.6026932952758424E+000
 2.7334638526604688E-006, 4.7139212568439550E+000
 2.7646133926836158E-006, 4.8545174869120764E+000
 2.8269124727299102E-006, 4.9693631933580775E+000
 2.9269124727299101E-006, 5.0007059156926097E+000
 3.0269124727299100E-006, 4.9999836010198493E+000
 3.1000000000000000E-006, 4.9999977376401477E+000
 3.1001000000000002E-006, 4.9999978952978843E+000
 3.1003000000000002E-006, 4.9992686237941415E+000
 3.1004328170603498E-006, 4.9964235522674549E+000
 3.1006040264602853E-006, 4.9845434753673983E+000
 3.1009464452601565E-006, 4.9080794206127560E+000
 3.1010000000000000E-006, 4.8883512993827445E+000
 3.1010406810058950E-006, 4.8723638203758126E+000
 3.1011220430176851E-006, 4.8404256878245437E+000
 3.1012847670412647E-006, 4.7767605628316909E+000
 3.1016102150884239E-006, 4.6502709720378785E+000
 3.1022611111827427E-006, 4.4006237455271879E+000
 3.1035629033713804E-006, 3.9147159204665658E+000
 3.1061664877486557E-006, 3.0245802722592710E+000
 3.1096232071071508E-006, 2.0841818973869630E+000
 3.1132342805198495E-006, 1.4211990857328134E+000
 3.1170633731762381E-006, 1.0038656854724048E+000
 3.1216299089661545E-006, 7.4545679393374753E-001
 3.1273041374278793E-006, 6.0844179583887048E-001
 3.1333477826889987E-006, 5.5794402798863474E-001
 3.1420460116726575E-006, 5.3773463635031904E-001
 3.1528728247936796E-006, 5.3440722314717692E-001
 3.1715459956263475E-006, 5.3425053872201045E-001
 3.2029484182197317E-006, 5.3429348436724933E-001
 3.2657532634065005E-006, 5.3427066843246329E-001
 3.3438100038401487E-006, 5.3428682015104456E-001
 3.4438100038401486E-006, 5.3427450934344844E-001
 3.5438100038401485E-006, 5.3428425036265070E-001
 3.6009999999999999E-006, 5.3427710083168878E-001
 3.6011000000000001E-006, 5.3521532539321559E-001
 3.6013000000000001E-006, 5.3935529627013779E-001
 3.6015065928298381E-006, 5.4839213895987393E-001
 3.6017511044121049E-006, 5.6529840518786123E-001
 3.6019876843134092E-006, 5.8510429261204422E-001
 3.6020000000000000E-006, 5.8616631647070028E-001
 3.6020129371448924E-006, 5.8728160110624184E-001
 3.6020388114346768E-006, 5.8951178377156510E-001
 3.6020892039642713E-006, 5.9385270737139684E-001
 3.6021899890234607E-006, 6.0252439740885633E-001
 3.6023915591418395E-006, 6.1982707715405261E-001
 3.6027946993785966E-006, 6.5426910311204012E-001
 3.6036009798521113E-006, 7.2249610045489054E-001
 3.6052135407991402E-006, 8.5630333157388272E-001
 3.6084386626931981E-006, 1.1133091703744777E+000
 3.6122859473370506E-006, 1.4014664134022443E+000
 3.6183912673009776E-006, 1.8191386225982504E+000
 3.6306019072288313E-006, 2.5234144816685928E+000
 3.6550231870845391E-006, 3.5196415146245164E+000
 3.6757113154677471E-006, 4.0427098891350228E+000
 3.6912589297288851E-006, 4.3094131426455462E+000
 3.7079186548104032E-006, 4.5139171814057804E+000
 3.7243749218858498E-006, 4.6565112844891638E+000
 3.7405371812996727E-006, 4.7558023212187006E+000
 3.7728617001273183E-006, 4.8792183404597456E+000
 3.8375107377826097E-006, 4.9767156113372168E+000
 3.9375107377826096E-006, 5.0005367341151699E+000
 4.0375107377826095E-006, 4.9999866439217779E+000
 4.0999999999999997E-006, 4.9999964743318719E+000
 4.1000999999999999E-006, 4.9999966346688289E+000
 4.1003000000000004E-006, 4.9992673685251949E+000
 4.1004493575360193E-006, 4.9956943607562110E+000
 4.1006451926479614E-006, 4.9795100397459047E+000
 4.1010000000000002E-006, 4.8875904592335395E+000
 4.1010391670223884E-006, 4.8721981740184708E+000
 4.1011175010671658E-006, 4.8414477400074967E+000
 4.1012741691567195E-006, 4.7801426074288456E+000
 4.1015875053358271E-006, 4.6583118007408366E+000
 4.1022141776940422E-006, 4.4177406106871402E+000
 4.1034675224104733E-006, 3.9488948225299429E+000
 4.1059742118433347E-006, 3.0848243083653313E+000
 4.1096139197553668E-006, 2.0861576659189596E+000
 4.1132323311905641E-006, 1.4213693747770635E+000
 4.1171149388339468E-006, 9.9950904848248334E-001
 4.1217405820490024E-006, 7.4105069879424501E-001
 4.1274526253210851E-006, 6.0626558920347029E-001
 4.1335359596345005E-006, 5.5703337289383215E-001
 4.1422556031736707E-006, 5.3757356739376061E-001
 4.1532037934579797E-006, 5.3438293517026225E-001
 4.1721050333415146E-006, 5.3425557155069148E-001
 4.2041650741264312E-006, 5.3429137345456212E-001
 4.2682851556962644E-006, 5.3427205557280433E-001
 4.3464663891809023E-006, 5.3428579587253688E-001
 4.4464663891809022E-006, 5.3427531981708110E-001
 4.5464663891809020E-006, 5.3428360905476702E-001
