
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=248
T,v(Vout)
 6.0271235841656234E-007, 2.3175415207011913E+000
 6.0343602410957804E-007, 2.4883042280209251E+000
 6.0488335549560935E-007, 2.7991574732870634E+000
 6.0777801826767196E-007, 3.3143649110322237E+000
 6.1356734381179728E-007, 4.0241992324642908E+000
 6.2155543098877312E-007, 4.5509316196689493E+000
 6.3030669801446962E-007, 4.8102187726181942E+000
 6.4013667708715776E-007, 4.9291707828904920E+000
 6.5464269932700706E-007, 4.9862109937167558E+000
 6.6971363172886901E-007, 4.9975726867088017E+000
 6.9451785743123523E-007, 5.0001725009783842E+000
 7.4072373492578072E-007, 4.9999370632959454E+000
 8.3313548991487161E-007, 5.0000390974438407E+000
 9.3313548991487160E-007, 4.9999747173975777E+000
 1.0331354899148716E-006, 5.0000162890906665E+000
 1.1000000000000001E-006, 4.9999916146065839E+000
 1.1001000000000001E-006, 4.9999918434828423E+000
 1.1003000000000001E-006, 4.9992679005142868E+000
 1.1004328170603494E-006, 4.9964432495254094E+000
 1.1005643295026012E-006, 4.9886255393096226E+000
 1.1008273543871049E-006, 4.9460332507386076E+000
 1.1009999999999999E-006, 4.8919976360064847E+000
 1.1010526049769006E-006, 4.8718096679245351E+000
 1.1011578149307020E-006, 4.8316455996134424E+000
 1.1013682348383050E-006, 4.7525603780991892E+000
 1.1017890746535109E-006, 4.5992319150669321E+000
 1.1026307542839225E-006, 4.3109544802335131E+000
 1.1043141135447460E-006, 3.8018618394657251E+000
 1.1076808320663929E-006, 3.0351919863166379E+000
 1.1106380511349341E-006, 2.6039401565847697E+000
 1.1143097539942684E-006, 2.2880945110222575E+000
 1.1216531597129371E-006, 2.0261305755049741E+000
 1.1307168892123476E-006, 1.9668638892059269E+000
 1.1423310952673034E-006, 1.9612561978948981E+000
 1.1587267475682282E-006, 1.9615406945128457E+000
 1.1903555026295808E-006, 1.9614659578440083E+000
 1.2332116979336729E-006, 1.9615056850618944E+000
 1.3189240885418570E-006, 1.9614791179648658E+000
 1.4189240885418569E-006, 1.9615001511025070E+000
 1.5189240885418568E-006, 1.9614831644811734E+000
 1.6010000000000000E-006, 1.9614966019149904E+000
 1.6011000000000000E-006, 1.9657205826972484E+000
 1.6013000000000000E-006, 1.9829412256516765E+000
 1.6017000000000001E-006, 2.0607542088440409E+000
 1.6020000000000001E-006, 2.1384123981584970E+000
 1.6020266000000000E-006, 2.1452848211380289E+000
 1.6020798000000001E-006, 2.1589989099417024E+000
 1.6021862000000000E-006, 2.1862387225990987E+000
 1.6023990000000001E-006, 2.2399722165895608E+000
 1.6028246000000000E-006, 2.3445129604918327E+000
 1.6036757999999999E-006, 2.5423486650992491E+000
 1.6053781999999996E-006, 2.8965647102252965E+000
 1.6087829999999991E-006, 3.4646759503702884E+000
 1.6155925999999982E-006, 4.1987168598252218E+000
 1.6240827622949028E-006, 4.6510148240821865E+000
 1.6327668913922308E-006, 4.8514676616742918E+000
 1.6414543409175011E-006, 4.9368675787032696E+000
 1.6556083131276395E-006, 4.9869662108644679E+000
 1.6708337290853498E-006, 4.9977700714288806E+000
 1.6992925218930322E-006, 5.0003099696532551E+000
 1.7475017925162161E-006, 4.9998812737535623E+000
 1.8439203337625840E-006, 5.0000753459913652E+000
 1.9439203337625839E-006, 4.9999513023323630E+000
 2.0439203337625838E-006, 5.0000314139535087E+000
 2.0999999999999998E-006, 4.9999859803320046E+000
 2.1000999999999996E-006, 4.9999862611261543E+000
 2.1002999999999996E-006, 4.9992624210973702E+000
 2.1004328170603492E-006, 4.9964378376127820E+000
 2.1005897760344315E-006, 4.9861915003200838E+000
 2.1009036939825962E-006, 4.9240886798315300E+000
 2.1009999999999999E-006, 4.8910545027215537E+000
 2.1010472566712420E-006, 4.8729139719140990E+000
 2.1011417700137264E-006, 4.8368040274166111E+000
 2.1013307966986950E-006, 4.7655890747645859E+000
 2.1017088500686328E-006, 4.6270845115328179E+000
 2.1024649568085079E-006, 4.3650539052400195E+000
 2.1039771702882581E-006, 3.8959909818240654E+000
 2.1070015972477585E-006, 3.1642058898809617E+000
 2.1099030500896603E-006, 2.6936715367702706E+000
 2.1131337384599541E-006, 2.3695703558968222E+000
 2.1195951152005416E-006, 2.0682514729757138E+000
 2.1288314799974760E-006, 1.9695932855128993E+000
 2.1392999504957794E-006, 1.9615577032024469E+000
 2.1545115186782573E-006, 1.9614788973919326E+000
 2.1827759110543715E-006, 1.9614961278030723E+000
 2.2218664715387577E-006, 1.9614876799481360E+000
 2.3000475925075306E-006, 1.9614930921227569E+000
 2.4000475925075304E-006, 1.9614888660785859E+000
 2.5000475925075303E-006, 1.9614922793848837E+000
 2.6010000000000002E-006, 1.9614895200635729E+000
 2.6011000000000000E-006, 1.9657136144049105E+000
