
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=259
T,v(Vout)
 0.0000000000000000E+000, 4.9999978360002162E+000
 1.0000000000000000E-008, 4.9999978360002153E+000
 2.0000000000000000E-008, 4.9999978360002153E+000
 4.0000000000000001E-008, 4.9999978360002144E+000
 8.0000000000000002E-008, 4.9999978360002144E+000
 9.9999999999999995E-008, 4.9999978360002162E+000
 1.0010000000000000E-007, 4.9999979894416828E+000
 1.0030000000000000E-007, 4.9992672502978781E+000
 1.0043281706034945E-007, 4.9964164547976537E+000
 1.0056432950260131E-007, 4.9885085731516146E+000
 1.0082735438710502E-007, 4.9451290147988711E+000
 1.0100000000000000E-007, 4.8898111769025450E+000
 1.0105260497690074E-007, 4.8690042479062576E+000
 1.0115781493070224E-007, 4.8274086872699220E+000
 1.0136823483830521E-007, 4.7443116217392154E+000
 1.0178907465351116E-007, 4.5784959843589927E+000
 1.0263075428392306E-007, 4.2483982942419951E+000
 1.0431411354474685E-007, 3.5985508604193805E+000
 1.0713755822052090E-007, 2.5972532659430665E+000
 1.1074033371063979E-007, 1.5921021516372713E+000
 1.1476503329112503E-007, 8.6228178387855481E-001
 1.1909106713787807E-007, 4.3121205275212160E-001
 1.2376205270009613E-007, 2.0561030638432204E-001
 1.2843555361537613E-007, 1.0447977751614740E-001
 1.3264277017635990E-007, 6.3123600075750935E-002
 1.3695080416742710E-007, 4.2889564426487274E-002
 1.4167621684939161E-007, 3.2697803955328016E-002
 1.4727865917579529E-007, 2.7716102428956987E-002
 1.5400815747180955E-007, 2.5679186160810549E-002
 1.6286816052839771E-007, 2.5005002998389956E-002
 1.7536704791778846E-007, 2.4884275072193148E-002
 1.9569349345783213E-007, 2.4887527412468188E-002
 2.3474552046968057E-007, 2.4886588061101667E-002
 3.1284957449337746E-007, 2.4887157601932643E-002
 4.1284957449337746E-007, 2.4886726134709700E-002
 5.1284957449337745E-007, 2.4887064610363909E-002
 6.0100000000000005E-007, 2.4886801531784221E-002
 6.0110000000000006E-007, 2.4742788891114580E-002
 6.0130000000000007E-007, 2.4558687446424123E-002
 6.0170000000000010E-007, 2.4803060471205784E-002
 6.0200000000000002E-007, 2.5958518798196335E-002
 6.0201400568269648E-007, 2.6016677708653384E-002
 6.0204201704808931E-007, 2.6132999346640300E-002
 6.0209803977887507E-007, 2.6365638499707616E-002
 6.0221008524044659E-007, 2.6830900298830205E-002
 6.0243417616358963E-007, 2.7761357802605746E-002
 6.0288235800987560E-007, 2.9622007902430570E-002
 6.0377872170244754E-007, 3.3342244256634297E-002
 6.0557144908759142E-007, 4.0778428251013833E-002
 6.0915690385787918E-007, 5.5633380752174610E-002
 6.1632781339845470E-007, 8.5271631417431229E-002
