
Label=v(Vout1) vs V(V4)
LabelX=V(V4)
LabelY=v(Vout1)
Data Point Count=66
V(V4),V(V4),v(Vout1)
1.9290000000000007E+000, 1.9290000000000007E+000, 4.9999999683362164E+000
2.0290000000000008E+000, 2.0290000000000008E+000, 4.9997739203225384E+000
2.1290000000000009E+000, 2.1290000000000009E+000, 4.9952851735957893E+000
2.2290000000000010E+000, 2.2290000000000010E+000, 4.9842580509251464E+000
2.3290000000000011E+000, 2.3290000000000011E+000, 4.9653881266344344E+000
2.4290000000000012E+000, 2.4290000000000012E+000, 4.9368702855665445E+000
2.5290000000000012E+000, 2.5290000000000012E+000, 4.8960756736559397E+000
2.6290000000000013E+000, 2.6290000000000013E+000, 4.8388918560625962E+000
2.7290000000000014E+000, 2.7290000000000014E+000, 4.7581726318108597E+000
2.8290000000000015E+000, 2.8290000000000015E+000, 4.6391725641513730E+000
2.9290000000000016E+000, 2.9290000000000016E+000, 4.4365146310168679E+000
2.9608876877121006E+000, 2.9608876877121006E+000, 4.3259491536360306E+000
2.9850534028565487E+000, 2.9850534028565487E+000, 4.1898952343604918E+000
3.0000911899244693E+000, 3.0000911899244693E+000, 3.8036229120907037E+000
3.0116244958990848E+000, 3.0116244958990848E+000, 2.8252872197737520E+000
3.0231578018737002E+000, 3.0231578018737002E+000, 1.8200600246154217E+000
3.0346911078483156E+000, 3.0346911078483156E+000, 9.4762400769150801E-001
3.0462244138229311E+000, 3.0462244138229311E+000, 8.2027905530555367E-001
3.0692910257721624E+000, 3.0692910257721624E+000, 6.8997783890095776E-001
3.1154242496706250E+000, 3.1154242496706250E+000, 5.3647599279654723E-001
3.2076906974675503E+000, 3.2076906974675503E+000, 3.5709499430043440E-001
3.3076906974675504E+000, 3.3076906974675504E+000, 2.3720909075407165E-001
3.4076906974675505E+000, 3.4076906974675505E+000, 1.5571642017238660E-001
3.5076906974675506E+000, 3.5076906974675506E+000, 9.8350107063600048E-002
3.6076906974675507E+000, 3.6076906974675507E+000, 5.7800839313376845E-002
3.7076906974675508E+000, 3.7076906974675508E+000, 2.9965423363677961E-002
3.8076906974675508E+000, 3.8076906974675508E+000, 1.2193503207819565E-002
3.9076906974675509E+000, 3.9076906974675509E+000, 2.6574289417290011E-003
4.0076906974675506E+000, 4.0076906974675506E+000, 3.2211225995387676E-008
4.1076906974675502E+000, 4.1076906974675502E+000, 3.0832287567045872E-008
4.2076906974675499E+000, 4.2076906974675499E+000, 2.9435703301499529E-008
4.3076906974675495E+000, 4.3076906974675495E+000, 2.8160156324059650E-008
4.4076906974675492E+000, 4.4076906974675492E+000, 2.6990565312983737E-008
4.5076906974675488E+000, 4.5076906974675488E+000, 2.5914254555885291E-008
4.6076906974675484E+000, 4.6076906974675484E+000, 2.4920492697245549E-008
4.7076906974675481E+000, 4.7076906974675481E+000, 2.4000133695275030E-008
4.8076906974675477E+000, 4.8076906974675477E+000, 2.3145334505795163E-008
4.9076906974675474E+000, 4.9076906974675474E+000, 2.2349331021822246E-008
5.0000000000000000E+000, 5.0000000000000000E+000, 2.1661647741610832E-008

Label=v(Vout1) vs V(V8)
LabelX=V(V8)
LabelY=v(Vout1)
Data Point Count=509
V(V8),V(V8),v(Vout1)
 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999999836060693E+000
 1.0000000000000000E-004, 1.0000000000000000E-004, 4.9999999836056590E+000
 2.0000000000000001E-004, 2.0000000000000001E-004, 4.9999999836052478E+000
 3.0000000000000003E-004, 3.0000000000000003E-004, 4.9999999836048383E+000
 5.0000000000000001E-004, 5.0000000000000001E-004, 4.9999999836040185E+000
 8.9999999999999998E-004, 8.9999999999999998E-004, 4.9999999836023790E+000
 1.7000000000000001E-003, 1.7000000000000001E-003, 4.9999999835990980E+000
 3.3000000000000000E-003, 3.3000000000000000E-003, 4.9999999835925317E+000
 6.5000000000000006E-003, 6.5000000000000006E-003, 4.9999999835793840E+000
 1.2900000000000002E-002, 1.2900000000000002E-002, 4.9999999835530282E+000
 2.2900000000000004E-002, 2.2900000000000004E-002, 4.9999999835116737E+000
 3.2900000000000006E-002, 3.2900000000000006E-002, 4.9999999834701105E+000
 4.2900000000000008E-002, 4.2900000000000008E-002, 4.9999999834283377E+000
 5.2900000000000010E-002, 5.2900000000000010E-002, 4.9999999833863527E+000
 6.2900000000000011E-002, 6.2900000000000011E-002, 4.9999999833441544E+000
 7.2900000000000006E-002, 7.2900000000000006E-002, 4.9999999833017430E+000
 8.2900000000000001E-002, 8.2900000000000001E-002, 4.9999999832591140E+000
 9.2899999999999996E-002, 9.2899999999999996E-002, 4.9999999832162665E+000
 1.0289999999999999E-001, 1.0289999999999999E-001, 4.9999999831731996E+000
 1.1289999999999999E-001, 1.1289999999999999E-001, 4.9999999831299107E+000
 1.2289999999999998E-001, 1.2289999999999998E-001, 4.9999999830863988E+000
 1.3289999999999999E-001, 1.3289999999999999E-001, 4.9999999830426622E+000
 1.4290000000000000E-001, 1.4290000000000000E-001, 4.9999999829986983E+000
 1.5290000000000001E-001, 1.5290000000000001E-001, 4.9999999829545043E+000
 1.6290000000000002E-001, 1.6290000000000002E-001, 4.9999999829100821E+000
 1.7290000000000003E-001, 1.7290000000000003E-001, 4.9999999828654271E+000
 1.8290000000000003E-001, 1.8290000000000003E-001, 4.9999999828205377E+000
 1.9290000000000004E-001, 1.9290000000000004E-001, 4.9999999827754147E+000
 2.0290000000000005E-001, 2.0290000000000005E-001, 4.9999999827300510E+000
 2.1290000000000006E-001, 2.1290000000000006E-001, 4.9999999826844492E+000
 2.2290000000000007E-001, 2.2290000000000007E-001, 4.9999999826386050E+000
 2.3290000000000008E-001, 2.3290000000000008E-001, 4.9999999825925183E+000
 2.4290000000000009E-001, 2.4290000000000009E-001, 4.9999999825461865E+000
 2.5290000000000007E-001, 2.5290000000000007E-001, 4.9999999824996069E+000
 2.6290000000000008E-001, 2.6290000000000008E-001, 4.9999999824527777E+000
 2.7290000000000009E-001, 2.7290000000000009E-001, 4.9999999824056980E+000
 2.8290000000000010E-001, 2.8290000000000010E-001, 4.9999999823583643E+000
 2.9290000000000010E-001, 2.9290000000000010E-001, 4.9999999823107766E+000
 3.0290000000000011E-001, 3.0290000000000011E-001, 4.9999999822629286E+000
 3.1290000000000012E-001, 3.1290000000000012E-001, 4.9999999822148240E+000
 3.2290000000000013E-001, 3.2290000000000013E-001, 4.9999999821664574E+000
 3.3290000000000014E-001, 3.3290000000000014E-001, 4.9999999821178260E+000
 3.4290000000000015E-001, 3.4290000000000015E-001, 4.9999999820689274E+000
 3.5290000000000016E-001, 3.5290000000000016E-001, 4.9999999820197631E+000
 3.6290000000000017E-001, 3.6290000000000017E-001, 4.9999999819703271E+000
 3.7290000000000018E-001, 3.7290000000000018E-001, 4.9999999819206193E+000
 3.8290000000000018E-001, 3.8290000000000018E-001, 4.9999999818706362E+000
 3.9290000000000019E-001, 3.9290000000000019E-001, 4.9999999818203769E+000
 4.0290000000000020E-001, 4.0290000000000020E-001, 4.9999999817698368E+000
 4.1290000000000021E-001, 4.1290000000000021E-001, 4.9999999817190153E+000
 4.2290000000000022E-001, 4.2290000000000022E-001, 4.9999999816679095E+000
 4.3290000000000023E-001, 4.3290000000000023E-001, 4.9999999816165168E+000
 4.4290000000000024E-001, 4.4290000000000024E-001, 4.9999999815648364E+000
 4.5290000000000025E-001, 4.5290000000000025E-001, 4.9999999815128646E+000
 4.6290000000000026E-001, 4.6290000000000026E-001, 4.9999999814605971E+000
 4.7290000000000026E-001, 4.7290000000000026E-001, 4.9999999814080338E+000
 4.8290000000000027E-001, 4.8290000000000027E-001, 4.9999999813551721E+000
 4.9290000000000028E-001, 4.9290000000000028E-001, 4.9999999813020093E+000
 5.0290000000000024E-001, 5.0290000000000024E-001, 4.9999999812485436E+000
 5.1290000000000024E-001, 5.1290000000000024E-001, 4.9999999811947688E+000
 5.2290000000000025E-001, 5.2290000000000025E-001, 4.9999999811406859E+000
 5.3290000000000026E-001, 5.3290000000000026E-001, 4.9999999810862921E+000
 5.4290000000000027E-001, 5.4290000000000027E-001, 4.9999999810315812E+000
 5.5290000000000028E-001, 5.5290000000000028E-001, 4.9999999809765532E+000
 5.6290000000000029E-001, 5.6290000000000029E-001, 4.9999999809212072E+000
 5.7290000000000030E-001, 5.7290000000000030E-001, 4.9999999808655353E+000
 5.8290000000000031E-001, 5.8290000000000031E-001, 4.9999999808095401E+000
 5.9290000000000032E-001, 5.9290000000000032E-001, 4.9999999807532163E+000
 6.0290000000000032E-001, 6.0290000000000032E-001, 4.9999999806965594E+000
 6.1290000000000033E-001, 6.1290000000000033E-001, 4.9999999806395676E+000
 6.2290000000000034E-001, 6.2290000000000034E-001, 4.9999999805822393E+000
 6.3290000000000035E-001, 6.3290000000000035E-001, 4.9999999805245716E+000
 6.4290000000000036E-001, 6.4290000000000036E-001, 4.9999999804665576E+000
 6.5290000000000037E-001, 6.5290000000000037E-001, 4.9999999804081989E+000
 6.6290000000000038E-001, 6.6290000000000038E-001, 4.9999999803494894E+000
 6.7290000000000039E-001, 6.7290000000000039E-001, 4.9999999802904274E+000
 6.8290000000000040E-001, 6.8290000000000040E-001, 4.9999999802310073E+000
 6.9290000000000040E-001, 6.9290000000000040E-001, 4.9999999801712320E+000
 7.0290000000000041E-001, 7.0290000000000041E-001, 4.9999999801110926E+000
 7.1290000000000042E-001, 7.1290000000000042E-001, 4.9999999800505863E+000
 7.2290000000000043E-001, 7.2290000000000043E-001, 4.9999999799897106E+000
 7.3290000000000044E-001, 7.3290000000000044E-001, 4.9999999799284627E+000
 7.4290000000000045E-001, 7.4290000000000045E-001, 4.9999999798668391E+000
 7.5290000000000046E-001, 7.5290000000000046E-001, 4.9999999798048362E+000
 7.6290000000000047E-001, 7.6290000000000047E-001, 4.9999999797424497E+000
 7.7290000000000048E-001, 7.7290000000000048E-001, 4.9999999796796759E+000
 7.8290000000000048E-001, 7.8290000000000048E-001, 4.9999999796165140E+000
 7.9290000000000049E-001, 7.9290000000000049E-001, 4.9999999795529542E+000
 8.0290000000000050E-001, 8.0290000000000050E-001, 4.9999999794890009E+000
 8.1290000000000051E-001, 8.1290000000000051E-001, 4.9999999794246444E+000
 8.2290000000000052E-001, 8.2290000000000052E-001, 4.9999999793598819E+000
 8.3290000000000053E-001, 8.3290000000000053E-001, 4.9999999792947118E+000
 8.4290000000000054E-001, 8.4290000000000054E-001, 4.9999999792291288E+000
 8.5290000000000055E-001, 8.5290000000000055E-001, 4.9999999791631300E+000
 8.6290000000000056E-001, 8.6290000000000056E-001, 4.9999999790967076E+000
 8.7290000000000056E-001, 8.7290000000000056E-001, 4.9999999790298615E+000
 8.8290000000000057E-001, 8.8290000000000057E-001, 4.9999999789625882E+000
 8.9290000000000058E-001, 8.9290000000000058E-001, 4.9999999788948815E+000
 9.0290000000000059E-001, 9.0290000000000059E-001, 4.9999999788267360E+000
 9.1290000000000060E-001, 9.1290000000000060E-001, 4.9999999787581499E+000
 9.2290000000000061E-001, 9.2290000000000061E-001, 4.9999999786891181E+000
 9.3290000000000062E-001, 9.3290000000000062E-001, 4.9999999786196350E+000
 9.4290000000000063E-001, 9.4290000000000063E-001, 4.9999999785496989E+000
 9.5290000000000064E-001, 9.5290000000000064E-001, 4.9999978049796985E+000
 9.6290000000000064E-001, 9.6290000000000064E-001, 4.9999568292902845E+000
 9.7290000000000065E-001, 9.7290000000000065E-001, 4.9998635511076950E+000
 9.8290000000000066E-001, 9.8290000000000066E-001, 4.9997174470105188E+000
 9.9290000000000067E-001, 9.9290000000000067E-001, 4.9995179844978770E+000
 1.0029000000000006E+000, 1.0029000000000006E+000, 4.9992646218384058E+000
 1.0129000000000006E+000, 1.0129000000000006E+000, 4.9989568078298161E+000
 1.0229000000000006E+000, 1.0229000000000006E+000, 4.9985939815502896E+000
 1.0329000000000006E+000, 1.0329000000000006E+000, 4.9981755721013696E+000
 1.0429000000000006E+000, 1.0429000000000006E+000, 4.9977009983419496E+000
 1.0529000000000006E+000, 1.0529000000000006E+000, 4.9971696686130311E+000
 1.0629000000000006E+000, 1.0629000000000006E+000, 4.9965809804528147E+000
 1.0729000000000006E+000, 1.0729000000000006E+000, 4.9959343203017372E+000
 1.0829000000000006E+000, 1.0829000000000006E+000, 4.9952290631969776E+000
 1.0929000000000006E+000, 1.0929000000000006E+000, 4.9944645724560113E+000
 1.1029000000000007E+000, 1.1029000000000007E+000, 4.9936401993486967E+000
 1.1129000000000007E+000, 1.1129000000000007E+000, 4.9927552827574102E+000
 1.1229000000000007E+000, 1.1229000000000007E+000, 4.9918091488246459E+000
 1.1329000000000007E+000, 1.1329000000000007E+000, 4.9908011105875643E+000
 1.1429000000000007E+000, 1.1429000000000007E+000, 4.9897304675988563E+000
 1.1529000000000007E+000, 1.1529000000000007E+000, 4.9885965055333008E+000
 1.1629000000000007E+000, 1.1629000000000007E+000, 4.9873984957793551E+000
 1.1729000000000007E+000, 1.1729000000000007E+000, 4.9861356950150659E+000
 1.1829000000000007E+000, 1.1829000000000007E+000, 4.9848073447675629E+000
 1.1929000000000007E+000, 1.1929000000000007E+000, 4.9834126709553468E+000
 1.2029000000000007E+000, 1.2029000000000007E+000, 4.9819508834125523E+000
 1.2129000000000008E+000, 1.2129000000000008E+000, 4.9804211753943033E+000
 1.2229000000000008E+000, 1.2229000000000008E+000, 4.9788227230622173E+000
 1.2329000000000008E+000, 1.2329000000000008E+000, 4.9771546849491113E+000
 1.2429000000000008E+000, 1.2429000000000008E+000, 4.9754162014018304E+000
 1.2529000000000008E+000, 1.2529000000000008E+000, 4.9736063940011288E+000
 1.2629000000000008E+000, 1.2629000000000008E+000, 4.9717243649574137E+000
 1.2729000000000008E+000, 1.2729000000000008E+000, 4.9697691964811304E+000
 1.2829000000000008E+000, 1.2829000000000008E+000, 4.9677399501264494E+000
 1.2929000000000008E+000, 1.2929000000000008E+000, 4.9656356661068939E+000
 1.3029000000000008E+000, 1.3029000000000008E+000, 4.9634553625813789E+000
 1.3129000000000008E+000, 1.3129000000000008E+000, 4.9611980349091347E+000
 1.3229000000000009E+000, 1.3229000000000009E+000, 4.9588626548717860E+000
 1.3329000000000009E+000, 1.3329000000000009E+000, 4.9564481698608516E+000
 1.3429000000000009E+000, 1.3429000000000009E+000, 4.9539535020287166E+000
 1.3529000000000009E+000, 1.3529000000000009E+000, 4.9513775474010764E+000
 1.3629000000000009E+000, 1.3629000000000009E+000, 4.9487191749486934E+000
 1.3729000000000009E+000, 1.3729000000000009E+000, 4.9459772256161481E+000
 1.3829000000000009E+000, 1.3829000000000009E+000, 4.9431505113051131E+000
 1.3929000000000009E+000, 1.3929000000000009E+000, 4.9402378138095493E+000
 1.4029000000000009E+000, 1.4029000000000009E+000, 4.9372378836999955E+000
 1.4129000000000009E+000, 1.4129000000000009E+000, 4.9341494391539209E+000
 1.4229000000000009E+000, 1.4229000000000009E+000, 4.9309711647289562E+000
 1.4329000000000010E+000, 1.4329000000000010E+000, 4.9277017100755218E+000
 1.4429000000000010E+000, 1.4429000000000010E+000, 4.9243396885851585E+000
 1.4529000000000010E+000, 1.4529000000000010E+000, 4.9208836759706092E+000
 1.4629000000000010E+000, 1.4629000000000010E+000, 4.9173322087733284E+000
 1.4729000000000010E+000, 1.4729000000000010E+000, 4.9136837827939130E+000
 1.4829000000000010E+000, 1.4829000000000010E+000, 4.9099368514404453E+000
 1.4929000000000010E+000, 1.4929000000000010E+000, 4.9060898239894888E+000
 1.5029000000000010E+000, 1.5029000000000010E+000, 4.9021410637540006E+000
 1.5129000000000010E+000, 1.5129000000000010E+000, 4.8980888861519727E+000
 1.5229000000000010E+000, 1.5229000000000010E+000, 4.8939315566691795E+000
 1.5329000000000010E+000, 1.5329000000000010E+000, 4.8896672887087993E+000
 1.5429000000000010E+000, 1.5429000000000010E+000, 4.8852942413201514E+000
 1.5529000000000011E+000, 1.5529000000000011E+000, 4.8808105167981255E+000
 1.5629000000000011E+000, 1.5629000000000011E+000, 4.8762141581441805E+000
 1.5729000000000011E+000, 1.5729000000000011E+000, 4.8715031463790064E+000
 1.5829000000000011E+000, 1.5829000000000011E+000, 4.8666753976961248E+000
 1.5929000000000011E+000, 1.5929000000000011E+000, 4.8617287604447501E+000
 1.6029000000000011E+000, 1.6029000000000011E+000, 4.8566610119291997E+000
 1.6129000000000011E+000, 1.6129000000000011E+000, 4.8514698550110404E+000
 1.6229000000000011E+000, 1.6229000000000011E+000, 4.8461529144988447E+000
 1.6329000000000011E+000, 1.6329000000000011E+000, 4.8407077333091815E+000
 1.6429000000000011E+000, 1.6429000000000011E+000, 4.8351317683807098E+000
 1.6529000000000011E+000, 1.6529000000000011E+000, 4.8294223863218031E+000
 1.6629000000000012E+000, 1.6629000000000012E+000, 4.8235768587700587E+000
 1.6729000000000012E+000, 1.6729000000000012E+000, 4.8175923574400112E+000
 1.6829000000000012E+000, 1.6829000000000012E+000, 4.8114659488330576E+000
 1.6929000000000012E+000, 1.6929000000000012E+000, 4.8051945885809593E+000
 1.7029000000000012E+000, 1.7029000000000012E+000, 4.7987751153913818E+000
 1.7129000000000012E+000, 1.7129000000000012E+000, 4.7922042445606747E+000
 1.7229000000000012E+000, 1.7229000000000012E+000, 4.7854785610154558E+000
 1.7329000000000012E+000, 1.7329000000000012E+000, 4.7785945118404198E+000
 1.7429000000000012E+000, 1.7429000000000012E+000, 4.7715483982451925E+000
 1.7529000000000012E+000, 1.7529000000000012E+000, 4.7643363669178695E+000
 1.7629000000000012E+000, 1.7629000000000012E+000, 4.7569544007069169E+000
 1.7729000000000013E+000, 1.7729000000000013E+000, 4.7493983085665423E+000
 1.7829000000000013E+000, 1.7829000000000013E+000, 4.7416637146929990E+000
 1.7929000000000013E+000, 1.7929000000000013E+000, 4.7337460467707686E+000
 1.8029000000000013E+000, 1.8029000000000013E+000, 4.7256405232377316E+000
 1.8129000000000013E+000, 1.8129000000000013E+000, 4.7173421394672763E+000
 1.8229000000000013E+000, 1.8229000000000013E+000, 4.7088456527524984E+000
 1.8329000000000013E+000, 1.8329000000000013E+000, 4.7001455659629769E+000
 1.8429000000000013E+000, 1.8429000000000013E+000, 4.6912361097276607E+000
 1.8529000000000013E+000, 1.8529000000000013E+000, 4.6821112229780235E+000
 1.8629000000000013E+000, 1.8629000000000013E+000, 4.6727645316629660E+000
 1.8729000000000013E+000, 1.8729000000000013E+000, 4.6631893254209027E+000
 1.8829000000000014E+000, 1.8829000000000014E+000, 4.6533785319639529E+000
 1.8929000000000014E+000, 1.8929000000000014E+000, 4.6433246888937001E+000
 1.9029000000000014E+000, 1.9029000000000014E+000, 4.6330199126262839E+000
 1.9129000000000014E+000, 1.9129000000000014E+000, 4.6224558640557882E+000
 1.9229000000000014E+000, 1.9229000000000014E+000, 4.6116237105271072E+000
 1.9329000000000014E+000, 1.9329000000000014E+000, 4.6005140836213263E+000
 1.9429000000000014E+000, 1.9429000000000014E+000, 4.5891170321753973E+000
 1.9529000000000014E+000, 1.9529000000000014E+000, 4.5774219698611587E+000
 1.9629000000000014E+000, 1.9629000000000014E+000, 4.5654176165327183E+000
 1.9729000000000014E+000, 1.9729000000000014E+000, 4.5530919324115153E+000
 1.9829000000000014E+000, 1.9829000000000014E+000, 4.5404320440095471E+000
 1.9929000000000014E+000, 1.9929000000000014E+000, 4.5274241604858201E+000
 2.0029000000000012E+000, 2.0029000000000012E+000, 4.5140534788803199E+000
 2.0129000000000010E+000, 2.0129000000000010E+000, 4.5003040763614797E+000
 2.0229000000000008E+000, 2.0229000000000008E+000, 4.4861587872422151E+000
 2.0329000000000006E+000, 2.0329000000000006E+000, 4.4715990620458452E+000
 2.0429000000000004E+000, 2.0429000000000004E+000, 4.4566048053102634E+000
 2.0529000000000002E+000, 2.0529000000000002E+000, 4.4411541880712875E+000
 2.0629000000000000E+000, 2.0629000000000000E+000, 4.4252234300169082E+000
 2.0728999999999997E+000, 2.0728999999999997E+000, 4.4087865450893080E+000
 2.0828999999999995E+000, 2.0828999999999995E+000, 4.3918150427432385E+000
 2.0928999999999993E+000, 2.0928999999999993E+000, 4.3742775750264871E+000
 2.1028999999999991E+000, 2.1028999999999991E+000, 4.3561395169611661E+000
 2.1128999999999989E+000, 2.1128999999999989E+000, 4.3373624641327764E+000
 2.1228999999999987E+000, 2.1228999999999987E+000, 4.3179036265922974E+000
 2.1328999999999985E+000, 2.1328999999999985E+000, 4.2977150916414208E+000
 2.1428999999999983E+000, 2.1428999999999983E+000, 4.2767429190572166E+000
 2.1528999999999980E+000, 2.1528999999999980E+000, 4.2549260196972227E+000
 2.1628999999999978E+000, 2.1628999999999978E+000, 4.2321947504860535E+000
 2.1728999999999976E+000, 2.1728999999999976E+000, 4.2084691328194097E+000
 2.1828999999999974E+000, 2.1828999999999974E+000, 4.1836565631024056E+000
 2.1928999999999972E+000, 2.1928999999999972E+000, 4.1576488263490532E+000
 2.2028999999999970E+000, 2.2028999999999970E+000, 4.1303181344732725E+000
 2.2128999999999968E+000, 2.2128999999999968E+000, 4.1015117690904113E+000
 2.2228999999999965E+000, 2.2228999999999965E+000, 4.0710446763108639E+000
 2.2328999999999963E+000, 2.2328999999999963E+000, 4.0386889664909580E+000
 2.2428999999999961E+000, 2.2428999999999961E+000, 4.0041585735873158E+000
 2.2528999999999959E+000, 2.2528999999999959E+000, 3.9670849368969923E+000
 2.2628999999999957E+000, 2.2628999999999957E+000, 3.9269857611866796E+000
 2.2728999999999955E+000, 2.2728999999999955E+000, 3.8831928701714080E+000
 2.2828999999999953E+000, 2.2828999999999953E+000, 3.8347539049484518E+000
 2.2928999999999951E+000, 2.2928999999999951E+000, 3.7802135502558958E+000
 2.3028999999999948E+000, 2.3028999999999948E+000, 3.7171426363600957E+000
 2.3128999999999946E+000, 2.3128999999999946E+000, 3.6408774026893411E+000
 2.3228999999999944E+000, 2.3228999999999944E+000, 3.5394511319422950E+000
 2.3328999999999942E+000, 2.3328999999999942E+000, 3.3378755492772978E+000
 2.3428999999999940E+000, 2.3428999999999940E+000, 2.7703754361148065E+000
 2.3528999999999938E+000, 2.3528999999999938E+000, 2.1974403193403447E+000
 2.3628999999999936E+000, 2.3628999999999936E+000, 1.6163986432814295E+000
 2.3728999999999933E+000, 2.3728999999999933E+000, 1.2739074053623294E+000
 2.3828999999999931E+000, 2.3828999999999931E+000, 1.1750611635837283E+000
 2.3928999999999929E+000, 2.3928999999999929E+000, 1.1057556781109883E+000
 2.4028999999999927E+000, 2.4028999999999927E+000, 1.0501243821264088E+000
 2.4128999999999925E+000, 2.4128999999999925E+000, 1.0028280749608094E+000
 2.4228999999999923E+000, 2.4228999999999923E+000, 9.6129757731939636E-001
 2.4328999999999921E+000, 2.4328999999999921E+000, 9.2406216569312749E-001
 2.4428999999999919E+000, 2.4428999999999919E+000, 8.9018482381320130E-001
 2.4528999999999916E+000, 2.4528999999999916E+000, 8.5903271569381534E-001
 2.4628999999999914E+000, 2.4628999999999914E+000, 8.3014152186439605E-001
 2.4728999999999912E+000, 2.4728999999999912E+000, 8.0317026057823226E-001
 2.4828999999999910E+000, 2.4828999999999910E+000, 7.7785475606994892E-001
 2.4928999999999908E+000, 2.4928999999999908E+000, 7.5398604513300105E-001
 2.5028999999999906E+000, 2.5028999999999906E+000, 7.3139652034495395E-001
 2.5128999999999904E+000, 2.5128999999999904E+000, 7.0994780921796774E-001
 2.5228999999999902E+000, 2.5228999999999902E+000, 6.8952506358262589E-001
 2.5328999999999899E+000, 2.5328999999999899E+000, 6.7003148216318997E-001
 2.5428999999999897E+000, 2.5428999999999897E+000, 6.5138457451663412E-001
 2.5528999999999895E+000, 2.5528999999999895E+000, 6.3351336405548397E-001
 2.5628999999999893E+000, 2.5628999999999893E+000, 6.1635625686053397E-001
 2.5728999999999891E+000, 2.5728999999999891E+000, 5.9985939227737750E-001
 2.5828999999999889E+000, 2.5828999999999889E+000, 5.8397534852540145E-001
 2.5928999999999887E+000, 2.5928999999999887E+000, 5.6866211417633750E-001
 2.6028999999999884E+000, 2.6028999999999884E+000, 5.5388226166167975E-001
 2.6128999999999882E+000, 2.6128999999999882E+000, 5.3960227632946389E-001
 2.6228999999999880E+000, 2.6228999999999880E+000, 5.2579200670255255E-001
 2.6328999999999878E+000, 2.6328999999999878E+000, 5.1242421020918705E-001
 2.6428999999999876E+000, 2.6428999999999876E+000, 4.9947417487236195E-001
 2.6528999999999874E+000, 2.6528999999999874E+000, 4.8691940198956407E-001
 2.6628999999999872E+000, 2.6628999999999872E+000, 4.7473933820018305E-001
 2.6728999999999870E+000, 2.6728999999999870E+000, 4.6291514785944216E-001
 2.6828999999999867E+000, 2.6828999999999867E+000, 4.5142951854739249E-001
 2.6928999999999865E+000, 2.6928999999999865E+000, 4.4026649400231155E-001
 2.7028999999999863E+000, 2.7028999999999863E+000, 4.2941132989572683E-001
 2.7128999999999861E+000, 2.7128999999999861E+000, 4.1885036874465437E-001
 2.7228999999999859E+000, 2.7228999999999859E+000, 4.0857093094638325E-001
 2.7328999999999857E+000, 2.7328999999999857E+000, 3.9856121946670942E-001
 2.7428999999999855E+000, 2.7428999999999855E+000, 3.8881023614737897E-001
 2.7528999999999852E+000, 2.7528999999999852E+000, 3.7930770794719509E-001
 2.7628999999999850E+000, 2.7628999999999850E+000, 3.7004402171281425E-001
 2.7728999999999848E+000, 2.7728999999999848E+000, 3.6101016630389526E-001
 2.7828999999999846E+000, 2.7828999999999846E+000, 3.5219768108398430E-001
 2.7928999999999844E+000, 2.7928999999999844E+000, 3.4359860994181574E-001
 2.8028999999999842E+000, 2.8028999999999842E+000, 3.3520546013426533E-001
