
Label=v(Vout) vs T
LabelX=T
LabelY=v(Vout)
Data Point Count=278
T,v(Vout)
 0.0000000000000000E+000, 9.9999998817184004E+000
 1.0000000000000000E-008, 9.9999998817183986E+000
 2.0000000000000000E-008, 9.9999998817188462E+000
 4.0000000000000001E-008, 9.9999998817188320E+000
 8.0000000000000002E-008, 9.9999998817184199E+000
 9.9999999999999995E-008, 9.9999998817184927E+000
 1.0010000000000000E-007, 1.0000000037726721E+001
 1.0030000000000000E-007, 9.9992216792094020E+000
 1.0043281706034945E-007, 9.9961851796555994E+000
 1.0056432950260131E-007, 9.9877663397963818E+000
 1.0082735438710502E-007, 9.9416500940680290E+000
 1.0100000000000000E-007, 9.8829017971096249E+000
 1.0105260497690074E-007, 9.8608346302926382E+000
 1.0115781493070224E-007, 9.8167622431941108E+000
 1.0136823483830521E-007, 9.7289810473967204E+000
 1.0178907465351116E-007, 9.5548630796842708E+000
 1.0263075428392306E-007, 9.2123267741121335E+000
 1.0431411354474685E-007, 8.5494441982423233E+000
 1.0768083206639445E-007, 7.3078227988764608E+000
 1.1441426910968965E-007, 5.1277546603982902E+000
 1.2147632338372634E-007, 3.2696301482477157E+000
 1.2902103718794515E-007, 1.9754433026390443E+000
 1.3824880162141143E-007, 1.3321260628682579E+000
 1.4746275872207714E-007, 1.1810972790598206E+000
 1.5742610281632255E-007, 1.1506589486195729E+000
 1.6877502198124386E-007, 1.1459042461358135E+000
 1.9009938847841982E-007, 1.1454006872791966E+000
 2.3162899302152249E-007, 1.1455442657483896E+000
 3.0285099939770231E-007, 1.1454619241271184E+000
 3.8250813805570155E-007, 1.1455192893461659E+000
 4.8250813805570154E-007, 1.1454771003534843E+000
 5.8250813805570154E-007, 1.1455093882285541E+000
 6.0100000000000005E-007, 1.1454931004585289E+000
 6.0110000000000006E-007, 1.1478121002259871E+000
 6.0130000000000007E-007, 1.1574705203523801E+000
 6.0154419166918735E-007, 1.1832470408043589E+000
 6.0175440555394863E-007, 1.2159568460838528E+000
 6.0193917887437341E-007, 1.2481994017008531E+000
 6.0200000000000002E-007, 1.2588449651379248E+000
 6.0201240640996577E-007, 1.2610150004286091E+000
 6.0203721922989727E-007, 1.2653543726782470E+000
 6.0208684486976027E-007, 1.2740281637175803E+000
 6.0218609614948638E-007, 1.2913558965636738E+000
 6.0238459870893860E-007, 1.3259316922154489E+000
 6.0278160382784304E-007, 1.3947625718513079E+000
 6.0357561406565192E-007, 1.5311274791834690E+000
 6.0516363454126957E-007, 1.7985882255503287E+000
 6.0833967549250497E-007, 2.3121399829418872E+000
 6.1469175739497578E-007, 3.2547143807470835E+000
 6.2739592119991729E-007, 4.8299078067312040E+000
 6.4031093130848589E-007, 6.0634542923642547E+000
 6.5032204510612716E-007, 6.8148615435522606E+000
