
Label=I(R5) vs TEMP
LabelX=TEMP
LabelY=I(R5)
Data Point Count=59
TEMP,TEMP,I(R5)
 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2112942703374329E-003
 1.0000000000000000E-002, 1.0000000000000000E-002, 1.2113083303814183E-003
 2.0000000000000000E-002, 2.0000000000000000E-002, 1.2113223890725304E-003
 2.9999999999999999E-002, 2.9999999999999999E-002, 1.2113364469304362E-003
 5.0000000000000003E-002, 5.0000000000000003E-002, 1.2113645601570275E-003
 8.9999999999999997E-002, 8.9999999999999997E-002, 1.2114207766337397E-003
 1.6999999999999998E-001, 1.6999999999999998E-001, 1.2115331697227798E-003
 3.2999999999999996E-001, 3.2999999999999996E-001, 1.2117577965219321E-003
 6.4999999999999991E-001, 6.4999999999999991E-001, 1.2122064127683056E-003
 1.2900000000000000E+000, 1.2900000000000000E+000, 1.2131010874187353E-003
 2.2900000000000000E+000, 2.2900000000000000E+000, 1.2144922040157032E-003
 3.2900000000000000E+000, 3.2900000000000000E+000, 1.2158753853656870E-003
 4.2900000000000000E+000, 4.2900000000000000E+000, 1.2172505688754617E-003
 5.2900000000000000E+000, 5.2900000000000000E+000, 1.2186178480083024E-003
 6.2900000000000000E+000, 6.2900000000000000E+000, 1.2199773149839644E-003
 7.2900000000000000E+000, 7.2900000000000000E+000, 1.2213290607859051E-003
 8.2899999999999991E+000, 8.2899999999999991E+000, 1.2226731751943968E-003
 9.2899999999999991E+000, 9.2899999999999991E+000, 1.2240097468108027E-003
 1.0289999999999999E+001, 1.0289999999999999E+001, 1.2253388631010154E-003
 1.1289999999999999E+001, 1.1289999999999999E+001, 1.2266606104100219E-003
 1.2289999999999999E+001, 1.2289999999999999E+001, 1.2279750740032587E-003
 1.3289999999999999E+001, 1.3289999999999999E+001, 1.2292823380798742E-003
 1.4289999999999999E+001, 1.4289999999999999E+001, 1.2305824858263510E-003
 1.5289999999999999E+001, 1.5289999999999999E+001, 1.2318755994211255E-003
 1.6289999999999999E+001, 1.6289999999999999E+001, 1.2331617600886110E-003
 1.7289999999999999E+001, 1.7289999999999999E+001, 1.2344410481036287E-003
 1.8289999999999999E+001, 1.8289999999999999E+001, 1.2357135428391311E-003
 1.9289999999999999E+001, 1.9289999999999999E+001, 1.2369793227851745E-003
 2.0289999999999999E+001, 2.0289999999999999E+001, 1.2382384655900344E-003
 2.1289999999999999E+001, 2.1289999999999999E+001, 1.2394910480774256E-003
 2.2289999999999999E+001, 2.2289999999999999E+001, 1.2407371462857478E-003
 2.3289999999999999E+001, 2.3289999999999999E+001, 1.2419768354926220E-003
 2.4289999999999999E+001, 2.4289999999999999E+001, 1.2432101902499445E-003
 2.5289999999999999E+001, 2.5289999999999999E+001, 1.2444372844071219E-003
 2.6289999999999999E+001, 2.6289999999999999E+001, 1.2456581911568540E-003
 2.7289999999999999E+001, 2.7289999999999999E+001, 1.2468729830460983E-003
 2.8289999999999999E+001, 2.8289999999999999E+001, 1.2480817320244834E-003
 2.9289999999999999E+001, 2.9289999999999999E+001, 1.2492845094715221E-003
 3.0289999999999999E+001, 3.0289999999999999E+001, 1.2504813862225460E-003
 3.1289999999999999E+001, 3.1289999999999999E+001, 1.2516724326102253E-003
 3.2289999999999999E+001, 3.2289999999999999E+001, 1.2528577184935585E-003
 3.3289999999999999E+001, 3.3289999999999999E+001, 1.2540373132906998E-003
 3.4289999999999999E+001, 3.4289999999999999E+001, 1.2552112860159308E-003
 3.5289999999999999E+001, 3.5289999999999999E+001, 1.2563797053161115E-003
 3.6289999999999999E+001, 3.6289999999999999E+001, 1.2575426394988180E-003
 3.7289999999999999E+001, 3.7289999999999999E+001, 1.2587001565754956E-003
 3.8289999999999999E+001, 3.8289999999999999E+001, 1.2598523242940492E-003
 3.9289999999999999E+001, 3.9289999999999999E+001, 1.2609992101806947E-003
 4.0289999999999999E+001, 4.0289999999999999E+001, 1.2621408815716251E-003
 4.1289999999999999E+001, 4.1289999999999999E+001, 1.2632774056593613E-003
 4.2289999999999999E+001, 4.2289999999999999E+001, 1.2644088495233300E-003
 4.3289999999999999E+001, 4.3289999999999999E+001, 1.2655352801830115E-003
 4.4289999999999999E+001, 4.4289999999999999E+001, 1.2666567646238509E-003
 4.5289999999999999E+001, 4.5289999999999999E+001, 1.2677733698531549E-003
 4.6289999999999999E+001, 4.6289999999999999E+001, 1.2688851629364705E-003
 4.7289999999999999E+001, 4.7289999999999999E+001, 1.2699922110474423E-003
 4.8289999999999999E+001, 4.8289999999999999E+001, 1.2710945815009467E-003
 4.9289999999999999E+001, 4.9289999999999999E+001, 1.2721923418165205E-003
 5.0000000000000000E+001, 5.0000000000000000E+001, 1.2729690626842446E-003
