
Label=db(v(Vout)) vs F
LabelX=F
LabelY=db(v(Vout))
Data Point Count=1001
F,F,F,db(v(Vout)),db(v(Vout))
 1.8706821403658122E+002, 1.8706821403658122E+002, 0.0000000000000000E+000, 3.8187271020146000E+001, 0.0000000000000000E+000
 1.8879913490963054E+002, 1.8879913490963054E+002, 0.0000000000000000E+000, 3.8187271020140400E+001, 0.0000000000000000E+000
 1.9054607179632595E+002, 1.9054607179632595E+002, 0.0000000000000000E+000, 3.8187271020134702E+001, 0.0000000000000000E+000
 1.9230917289101708E+002, 1.9230917289101708E+002, 0.0000000000000000E+000, 3.8187271020128890E+001, 0.0000000000000000E+000
 1.9408858775927908E+002, 1.9408858775927908E+002, 0.0000000000000000E+000, 3.8187271020122978E+001, 0.0000000000000000E+000
 1.9588446735060026E+002, 1.9588446735060026E+002, 0.0000000000000000E+000, 3.8187271020116953E+001, 0.0000000000000000E+000
 1.9769696401118739E+002, 1.9769696401118739E+002, 0.0000000000000000E+000, 3.8187271020110821E+001, 0.0000000000000000E+000
 1.9952623149688930E+002, 1.9952623149688930E+002, 0.0000000000000000E+000, 3.8187271020104568E+001, 0.0000000000000000E+000
 2.0137242498624019E+002, 2.0137242498624019E+002, 0.0000000000000000E+000, 3.8187271020098201E+001, 0.0000000000000000E+000
 2.0323570109362356E+002, 2.0323570109362356E+002, 0.0000000000000000E+000, 3.8187271020091714E+001, 0.0000000000000000E+000
 2.0511621788255798E+002, 2.0511621788255798E+002, 0.0000000000000000E+000, 3.8187271020085106E+001, 0.0000000000000000E+000
 2.0701413487910568E+002, 2.0701413487910568E+002, 0.0000000000000000E+000, 3.8187271020078384E+001, 0.0000000000000000E+000
 2.0892961308540544E+002, 2.0892961308540544E+002, 0.0000000000000000E+000, 3.8187271020071528E+001, 0.0000000000000000E+000
 2.1086281499333046E+002, 2.1086281499333046E+002, 0.0000000000000000E+000, 3.8187271020064543E+001, 0.0000000000000000E+000
 2.1281390459827276E+002, 2.1281390459827276E+002, 0.0000000000000000E+000, 3.8187271020057437E+001, 0.0000000000000000E+000
 2.1478304741305499E+002, 2.1478304741305499E+002, 0.0000000000000000E+000, 3.8187271020050190E+001, 0.0000000000000000E+000
 2.1677041048197111E+002, 2.1677041048197111E+002, 0.0000000000000000E+000, 3.8187271020042814E+001, 0.0000000000000000E+000
 2.1877616239495694E+002, 2.1877616239495694E+002, 0.0000000000000000E+000, 3.8187271020035297E+001, 0.0000000000000000E+000
 2.2080047330189171E+002, 2.2080047330189171E+002, 0.0000000000000000E+000, 3.8187271020027644E+001, 0.0000000000000000E+000
 2.2284351492703215E+002, 2.2284351492703215E+002, 0.0000000000000000E+000, 3.8187271020019850E+001, 0.0000000000000000E+000
 2.2490546058357992E+002, 2.2490546058357992E+002, 0.0000000000000000E+000, 3.8187271020011906E+001, 0.0000000000000000E+000
