
Label=v(Vout) vs V(V2)
LabelX=V(V2)
LabelY=v(Vout)
Data Point Count=90
V(V2),V(V2),v(Vout)
 6.3290000000000035E-001, 6.3290000000000035E-001, 4.3439908542925938E+000
 6.4290000000000036E-001, 6.4290000000000036E-001, 4.0405090120190748E+000
 6.5290000000000037E-001, 6.5290000000000037E-001, 3.6006256862904520E+000
 6.6290000000000038E-001, 6.6290000000000038E-001, 2.9674112106649928E+000
 6.7290000000000039E-001, 6.7290000000000039E-001, 2.0647942990359383E+000
 6.8078010130356903E-001, 6.8078010130356903E-001, 1.1009167336110290E+000
 6.8866020260713756E-001, 6.8866020260713756E-001, 1.1101422923079485E-001
 6.9654030391070609E-001, 6.9654030391070609E-001, 6.7313882959851856E-002
 7.0654030391070610E-001, 7.0654030391070610E-001, 5.2290932578180960E-002
 7.1654030391070611E-001, 7.1654030391070611E-001, 4.5118146350941302E-002
 7.2654030391070612E-001, 7.2654030391070612E-001, 4.0899633623346310E-002
 7.3654030391070613E-001, 7.3654030391070613E-001, 3.8161495043622068E-002
 7.4654030391070614E-001, 7.4654030391070614E-001, 3.6308376811218131E-002
 7.5654030391070615E-001, 7.5654030391070615E-001, 3.4999393923877992E-002
 7.6654030391070616E-001, 7.6654030391070616E-001, 3.4055986601081646E-002
 7.7654030391070616E-001, 7.7654030391070616E-001, 3.3368142401454075E-002
 7.8654030391070617E-001, 7.8654030391070617E-001, 3.2864733455151736E-002
 7.9654030391070618E-001, 7.9654030391070618E-001, 3.2497906977574084E-002
 8.0000000000000004E-001, 8.0000000000000004E-001, 3.2396693480207739E-002
